id,solver,instance,n_items,n_classes,type,objective,type1_bins,type2_bins,type3_bins,type4_bins,bins_total,time_seconds,average_fill_rate,min_fill_rate,max_fill_rate,time_to_best_seconds,iterations
1,alns_300s,set3_t1_corr/I250_C3_1,250,3,1,4126.89,35,0,5,0,40,300.0,0.82,0.47,0.99,143.5,113539
3,alns_3600s,set3_t1_corr/I250_C3_1,250,3,1,4001.51,35,0,4,0,39,3600.0,0.86,0.53,0.99,843.9,874423
7,alns_300s,set3_t1_corr/I250_C3_10,250,3,1,3751.85,34,3,0,0,37,300.0,0.89,0.52,1.0,263.63,139386
4,alns_3600s,set3_t1_corr/I250_C3_10,250,3,1,3734.57,35,2,0,0,37,3600.01,0.92,0.46,1.0,2297.96,854241
9,alns_300s,set3_t1_corr/I250_C3_2,250,3,1,4231.71,35,6,0,0,41,300.0,0.8,0.42,0.99,151.77,149236
2,alns_3600s,set3_t1_corr/I250_C3_2,250,3,1,4231.71,35,6,0,0,41,3600.0,0.8,0.35,1.0,3275.41,741375
3,alns_300s,set3_t1_corr/I250_C3_3,250,3,1,3569.39,31,0,4,0,35,300.0,0.92,0.71,1.0,83.89,153815
1,alns_3600s,set3_t1_corr/I250_C3_3,250,3,1,3504.09,28,0,6,0,34,3600.0,0.9,0.49,1.0,1109.54,761328
2,alns_300s,set3_t1_corr/I250_C3_4,250,3,1,3486.89,30,4,0,0,34,300.0,0.94,0.78,1.0,263.95,148833
1,alns_3600s,set3_t1_corr/I250_C3_4,250,3,1,3430.34,27,6,0,0,33,3600.0,0.92,0.63,1.0,1478.12,729147
4,alns_300s,set3_t1_corr/I250_C3_5,250,3,1,3659.03,34,0,2,0,36,300.0,0.92,0.57,1.0,100.11,158852
1,alns_3600s,set3_t1_corr/I250_C3_5,250,3,1,3518.05,30,0,4,0,34,3600.01,0.92,0.75,1.0,3257.21,720541
2,alns_300s,set3_t1_corr/I250_C3_6,250,3,1,3302.18,22,0,9,0,31,300.0,0.9,0.51,1.0,98.56,168574
2,alns_3600s,set3_t1_corr/I250_C3_6,250,3,1,3279.72,23,0,8,0,31,3600.0,0.93,0.52,1.0,306.15,1005271
4,alns_300s,set3_t1_corr/I250_C3_7,250,3,1,4600.8,35,9,0,0,44,300.0,0.75,0.24,0.99,48.55,131859
