id,solver,instance,n_items,n_classes,type,objective,type1_bins,type2_bins,type3_bins,type4_bins,bins_total,time_seconds,average_fill_rate,min_fill_rate,max_fill_rate,time_to_best_seconds,iterations
1,alns_300s,set1/ID1_I100_C120_ALPHA1.41_BETA6.6_U0.1_UB2_R1,100,1,1,2512,0,4,1,16,21,300.0,0.99,0.95,1.0,23.32,290351
2,alns_300s,set1/ID1_I100_C120_ALPHA1.41_BETA6.6_U0.1_UB2_R1,100,1,1,2512,0,4,1,16,21,300.0,0.99,0.98,1.0,1.8,341025
3,alns_300s,set1/ID1_I100_C120_ALPHA1.41_BETA6.6_U0.1_UB2_R1,100,1,1,2512,0,4,1,16,21,300.0,0.99,0.98,1.0,3.82,360317
4,alns_300s,set1/ID1_I100_C120_ALPHA1.41_BETA6.6_U0.1_UB2_R1,100,1,1,2512,0,4,1,16,21,300.0,0.99,0.97,1.0,3.54,370785
5,alns_300s,set1/ID1_I100_C120_ALPHA1.41_BETA6.6_U0.1_UB2_R1,100,1,1,2512,0,4,1,16,21,300.0,0.99,0.97,1.0,1.2,374055
6,alns_300s,set1/ID1_I100_C120_ALPHA1.41_BETA6.6_U0.1_UB2_R1,100,1,1,2512,0,4,1,16,21,300.0,0.99,0.97,1.0,0.44,378724
7,alns_300s,set1/ID1_I100_C120_ALPHA1.41_BETA6.6_U0.1_UB2_R1,100,1,1,2512,0,4,1,16,21,300.0,0.99,0.99,1.0,1.27,380385
8,alns_300s,set1/ID1_I100_C120_ALPHA1.41_BETA6.6_U0.1_UB2_R1,100,1,1,2512,0,4,1,16,21,300.0,0.99,0.98,1.0,0.64,374984
9,alns_300s,set1/ID1_I100_C120_ALPHA1.41_BETA6.6_U0.1_UB2_R1,100,1,1,2512,0,4,1,16,21,300.0,0.99,0.97,1.0,1.54,224756
10,alns_300s,set1/ID1_I100_C120_ALPHA1.41_BETA6.6_U0.1_UB2_R1,100,1,1,2512,0,4,1,16,21,300.0,0.99,0.98,1.0,6.32,142170
