volume,class_1,class_2,class_3
11.335,10,10,1
4.9434,7,3,6
4.6,6,6,2
6.1081,5,7,2
6.5526,9,7,3
9.5539,1,6,9
2.9596,8,6,1
4.3961,10,4,4
23.3801,3,6,8
25.1606,0,3,8
5.162000000000001,7,9,0
14.487,0,10,9
2.9574,3,4,3
3.4411,2,4,2
18.7015,8,3,4
12.7507,4,9,4
15.8163,10,7,2
7.2397,8,5,7
3.7616,6,1,3
17.5884,9,6,3
10.6681,4,1,0
31.8829,1,9,0
1.4292,8,4,10
13.4466,10,2,1
10.136000000000001,8,5,9
7.8137,4,6,8
9.4087,10,5,8
5.3436,5,0,1
15.8051,7,7,5
20.9729,4,8,6
7.2067,5,10,9
13.3965,7,1,10
33.6923,6,6,3
16.8206,8,0,4
5.0749,10,9,8
17.2656,3,7,9
22.4778,8,6,4
13.347000000000001,2,7,9
32.1968,10,8,3
8.379,5,8,0
8.829,10,6,9
10.4756,6,6,5
3.7028,9,9,1
14.3116,7,3,10
1.1583,10,4,10
23.2681,0,6,10
12.3408,2,10,6
32.8901,4,2,1
15.6226,9,0,5
13.699000000000002,4,6,10
10.8722,8,4,2
19.7657,7,4,7
10.6733,2,7,8
20.7556,0,4,8
14.7081,1,9,6
14.1846,1,5,1
21.2173,10,7,0
18.2763,2,8,2
29.2982,1,6,10
7.8071,4,9,4
4.3747,3,8,3
9.8426,3,5,4
12.5187,1,1,8
2.1865,10,5,7
17.0981,8,8,0
11.3391,2,4,10
5.52,8,4,5
3.8548,9,3,6
9.9596,8,6,2
6.0183,7,4,9
33.0733,5,3,4
9.92,9,3,10
2.23,0,9,6
9.5237,5,6,3
1.2356,4,3,1
26.6087,10,2,9
1.0159,7,9,2
9.738999999999999,9,4,7
5.4304,8,2,2
14.9803,2,7,5
25.1722,4,6,3
37.9497,1,3,10
0.2487,4,1,1
2.8604,3,6,5
31.629,7,1,2
0.7209,0,0,9
11.1738,0,3,10
12.7656,0,7,8
8.3909,9,7,5
4.7895,10,4,1
11.0495,9,2,1
13.82,3,6,3
15.5311,7,7,6
14.8517,2,3,3
28.4098,4,7,8
8.3712,9,6,3
21.9022,7,4,5
9.6362,7,9,1
18.9702,3,1,0
4.7158,0,0,7
