volume,class_1
11.335,3
4.9434,0
4.6,6
6.1081,2
6.5526,0
9.5539,2
2.9596,7
4.3961,8
23.3801,10
25.1606,6
5.162000000000001,8
14.487,3
2.9574,10
3.4411,8
18.7015,7
12.7507,3
15.8163,8
7.2397,10
3.7616,0
17.5884,6
10.6681,10
31.8829,9
1.4292,5
13.4466,10
10.136000000000001,10
7.8137,6
9.4087,0
5.3436,4
15.8051,2
20.9729,3
7.2067,0
13.3965,4
33.6923,1
16.8206,1
5.0749,4
17.2656,4
22.4778,2
13.347000000000001,6
32.1968,9
8.379,4
8.829,2
10.4756,0
3.7028,8
14.3116,0
1.1583,9
23.2681,3
12.3408,9
32.8901,7
15.6226,2
13.699000000000002,9
10.8722,8
19.7657,0
10.6733,6
20.7556,3
14.7081,5
14.1846,1
21.2173,3
18.2763,9
29.2982,10
7.8071,6
4.3747,9
9.8426,3
12.5187,7
2.1865,1
17.0981,10
11.3391,6
5.52,4
3.8548,8
9.9596,7
6.0183,0
33.0733,5
9.92,9
2.23,6
9.5237,4
1.2356,0
26.6087,2
1.0159,3
9.738999999999999,5
5.4304,9
14.9803,2
25.1722,5
37.9497,6
0.2487,3
2.8604,4
31.629,10
0.7209,1
11.1738,6
12.7656,8
8.3909,5
4.7895,10
11.0495,8
13.82,7
15.5311,8
14.8517,3
28.4098,1
8.3712,0
21.9022,1
9.6362,2
18.9702,2
4.7158,2
