volume,class_1,class_2,class_3,class_4
11.335,5,9,3,6
4.9434,8,6,2,7
4.6,4,9,5,3
6.1081,4,9,3,10
6.5526,0,9,6,5
9.5539,6,3,4,3
2.9596,1,10,2,9
4.3961,7,9,2,9
23.3801,4,7,8,2
25.1606,2,2,7,5
5.162000000000001,4,6,3,1
14.487,3,10,4,1
2.9574,1,3,6,5
3.4411,7,1,2,0
18.7015,0,9,0,3
12.7507,10,0,7,8
15.8163,9,7,5,10
7.2397,4,1,9,2
3.7616,1,3,6,3
17.5884,7,7,6,2
10.6681,3,3,4,7
31.8829,8,9,6,3
1.4292,7,4,5,7
13.4466,9,1,3,1
10.136000000000001,0,0,0,7
7.8137,5,6,9,4
9.4087,3,6,2,10
5.3436,2,0,0,6
15.8051,2,10,8,0
20.9729,9,6,4,2
7.2067,1,7,10,4
13.3965,0,0,8,0
33.6923,8,2,0,4
16.8206,1,6,1,3
5.0749,0,7,10,2
17.2656,4,10,3,10
22.4778,7,6,5,10
13.347000000000001,4,4,10,10
32.1968,3,3,0,9
8.379,9,2,5,6
8.829,9,8,10,8
10.4756,0,5,8,6
3.7028,8,3,8,6
14.3116,10,1,4,9
1.1583,1,4,2,1
23.2681,2,0,3,6
12.3408,0,0,10,1
32.8901,8,7,8,5
15.6226,1,5,0,2
13.699000000000002,8,0,7,10
10.8722,2,6,7,0
19.7657,8,4,1,4
10.6733,5,1,4,0
20.7556,6,0,4,5
14.7081,2,4,6,1
14.1846,10,4,1,6
21.2173,3,8,8,3
18.2763,5,5,8,6
29.2982,9,7,1,2
7.8071,10,7,8,8
4.3747,9,8,8,0
9.8426,4,2,3,5
12.5187,6,8,5,1
2.1865,6,5,2,9
17.0981,1,0,4,10
11.3391,8,5,6,4
5.52,5,5,4,5
3.8548,8,8,0,8
9.9596,1,2,5,5
6.0183,5,9,1,7
33.0733,4,7,7,5
9.92,6,1,9,0
2.23,2,0,8,7
9.5237,9,4,3,9
1.2356,5,5,10,5
26.6087,6,4,7,9
1.0159,5,8,8,2
9.738999999999999,0,2,4,10
5.4304,3,9,2,1
14.9803,2,6,9,0
25.1722,1,8,10,4
37.9497,1,3,4,1
0.2487,10,9,8,10
2.8604,1,1,3,10
31.629,2,8,6,0
0.7209,9,5,7,4
11.1738,3,3,9,7
12.7656,3,6,7,10
8.3909,5,8,3,7
4.7895,1,4,6,3
11.0495,0,8,6,8
13.82,7,1,6,9
15.5311,8,9,9,6
14.8517,0,5,7,0
28.4098,3,4,10,0
8.3712,8,1,4,8
21.9022,5,8,10,9
9.6362,8,4,8,6
18.9702,8,8,6,9
4.7158,10,9,4,7
