volume,class_1,class_2
13.9816,10,10
1.0394,1,7
3.352,3,6
14.9745,6,6
16.083,2,5
40.7106,7,2
16.0786,9,7
8.3914,3,1
15.6447,6,9
7.6882,8,6
7.3526,1,10
15.4727,4,4
12.4391,3,6
19.4338,8,0
7.2209,3,8
29.4402,7,9
14.3069,0,0
6.1641,10,9
14.2429,3,4
3.8843,3,2
33.3676,4,2
9.9952,8,3
6.3315,4,4
7.7993,9,4
11.3441,10,7
3.5795,2,8
6.3765,5,7
2.161,6,1
14.9146,3,9
4.5901,6,3
4.8704,4,1
31.665,0,1
5.1397,9,0
4.2062,8,4
9.9007,10,10
12.6865,2,1
13.657,8,5
14.5726,9,4
8.5244,6,8
1.3085,10,5
2.5916,8,5
24.9626,0,1
34.3741,7,7
9.5927,5,4
3.4703,8,6
26.1344,5,10
8.4766,9,7
7.5705,1,10
13.1377,6,6
6.47,3,8
16.363,0,4
26.2299,10,9
16.099,8,3
16.1549,7,9
15.3929,8,6
25.5206,4,2
12.2064,7,9
2.3549,10,8
1.4435,3,5
9.2826,8,0
13.8226,10,6
24.0099,9,6
27.1887,6,5
14.6305,9,9
12.3455,1,7
23.0705,3,10
17.2544,10,4
10.2231,10,0
3.0681,6,10
5.9274,2,10
24.8054,6,4
2.6798,2,1
4.1673,9,0
7.8916,5,4
8.9584,6,10
14.331,8,4
35.5324,2,7
15.009,4,7
0.2853,2,7
2.5134,8,0
1.6182,4,8
1.9024,1,9
15.722000000000001,6,1
23.4177,5,1
13.9591,10,7
21.8683,0,2
11.8349,8,2
8.783999999999999,1,6
2.722,10,4
14.9942,9,4
3.0824,3,8
11.669,3,3
9.7538,5,4
20.3276,1,1
7.7204,8,10
17.1101,5,7
37.3914,8,8
14.3254,0,2
5.3464,4,10
16.9047,8,4
