volume,class_1
19,0
15,0
32,0
32,0
2,0
31,0
9,0
17,1
1,1
46,1
17,1
17,1
43,1
6,1
2,2
30,2
43,2
48,2
24,2
17,2
49,2
2,2
6,2
2,3
36,3
39,3
21,3
35,3
45,3
21,3
20,3
3,3
7,3
7,3
17,3
12,4
32,4
47,4
24,4
24,4
1,4
9,4
12,4
13,5
4,5
25,5
25,5
36,5
34,5
34,5
16,5
30,5
4,6
30,6
49,6
23,6
14,6
47,6
21,6
50,7
33,7
19,7
17,7
43,7
19,7
42,7
49,7
46,7
37,7
6,8
36,8
7,8
32,8
35,8
20,8
48,9
44,9
17,9
4,9
32,9
21,9
42,9
27,9
50,10
2,10
19,10
13,10
50,10
31,10
2,10
46,11
7,11
8,11
39,11
43,11
1,11
23,11
5,11
30,11
20,11
36,12
28,12
24,12
17,12
23,12
29,12
2,12
9,12
21,12
21,12
33,12
4,12
30,13
2,13
10,13
50,13
19,13
25,13
32,13
36,14
30,14
28,14
8,14
22,14
10,14
24,14
46,15
43,15
26,15
45,15
26,15
15,15
21,15
7,15
43,16
45,16
24,16
36,16
31,16
42,16
31,16
10,16
43,16
17,17
14,17
16,17
15,17
40,17
7,18
27,18
15,18
25,18
41,18
37,18
14,18
10,18
46,19
42,19
37,19
44,19
30,19
16,19
8,19
45,20
24,20
27,20
20,20
21,20
17,20
25,20
44,20
36,20
30,20
36,20
4,20
7,21
50,21
11,21
18,21
5,21
13,21
39,21
5,21
5,21
14,21
36,22
8,22
25,22
12,22
15,22
39,22
7,23
15,23
3,23
15,23
29,23
20,24
18,24
14,24
18,24
