volume,class_1,class_2
91,0,24
88,0,22
90,0,9
76,0,19
95,0,3
86,0,14
84,0,0
60,0,22
70,1,8
89,1,15
87,1,0
89,1,11
87,1,23
62,1,11
74,1,23
81,1,22
74,1,4
97,1,3
69,1,14
75,1,14
84,2,16
89,2,17
99,2,13
59,2,2
80,2,12
75,2,15
76,2,0
66,2,20
83,2,4
52,3,18
62,3,5
50,3,6
66,3,9
58,3,20
81,3,21
77,3,19
70,3,21
84,3,13
85,3,11
93,3,17
82,3,11
86,3,10
94,3,0
95,3,18
50,3,15
53,3,23
71,4,0
58,4,20
63,4,7
63,4,13
50,4,22
84,4,21
83,4,12
50,4,3
83,4,5
60,4,3
97,4,1
91,4,15
84,4,3
69,4,16
70,5,22
83,5,23
58,5,10
89,5,4
72,6,7
72,6,10
71,6,14
51,6,18
56,6,24
59,6,1
77,6,19
52,6,4
73,7,12
93,7,6
92,7,20
81,8,17
88,8,18
95,8,12
73,8,2
71,8,19
71,8,7
51,9,1
62,9,5
86,9,6
65,9,12
68,9,16
64,9,14
83,9,20
90,9,11
74,9,9
99,9,19
77,9,22
79,9,3
65,9,5
52,10,10
66,10,2
86,10,21
71,10,2
82,10,18
52,11,16
62,11,5
93,11,6
78,11,6
74,11,21
89,11,24
94,11,0
83,11,21
87,11,18
54,12,4
55,12,24
93,12,2
66,12,4
99,12,18
88,12,13
95,12,23
88,12,20
99,13,19
61,13,10
64,13,8
99,13,16
86,13,17
76,13,22
50,13,0
52,13,22
84,13,18
71,13,12
54,13,13
64,14,1
69,14,15
96,14,6
69,14,8
56,15,13
66,15,7
52,15,9
58,15,2
57,16,4
77,16,9
61,16,5
75,16,3
74,16,8
86,17,19
77,17,21
92,17,5
98,17,11
53,17,3
67,17,15
95,17,16
95,18,7
80,18,24
86,18,23
61,18,10
73,18,17
70,18,7
89,18,1
92,18,16
84,18,7
87,18,8
76,18,1
93,18,8
70,19,23
86,19,15
78,19,17
68,19,13
56,19,5
95,19,12
76,19,2
62,20,1
98,20,4
87,20,16
66,20,24
63,20,20
58,20,11
65,20,0
66,20,15
94,21,14
60,21,14
57,22,1
77,22,9
63,22,24
55,22,8
90,22,17
77,22,10
84,22,13
69,23,9
60,23,19
69,23,12
54,23,9
69,23,20
96,23,7
57,23,24
61,23,10
57,23,23
53,24,14
58,24,8
51,24,6
79,24,11
97,24,17
70,24,21
68,24,6
73,24,2
