volume,class_1,class_2,class_3
37,0,4,20
41,0,6,18
27,0,3,7
34,1,7,10
41,1,7,35
39,1,6,49
42,1,3,17
35,1,7,7
28,2,1,15
34,2,5,28
48,2,6,15
35,3,2,14
33,3,8,36
29,4,0,46
34,4,5,17
37,4,6,4
34,5,6,48
34,5,5,41
28,6,6,47
32,6,2,26
32,6,0,6
39,7,0,22
25,7,0,1
36,7,4,42
32,7,9,7
25,8,9,44
31,8,0,42
45,8,7,12
36,8,6,8
47,8,9,48
36,9,6,42
40,9,6,26
26,9,6,12
38,9,4,5
28,9,0,16
26,9,9,0
47,10,4,15
42,10,3,35
25,10,8,25
44,10,4,43
25,10,2,18
43,10,6,14
39,10,9,45
31,11,2,33
41,11,0,46
41,11,9,23
39,11,1,24
31,11,8,21
29,11,3,13
27,11,3,40
31,12,6,21
39,12,6,27
32,12,0,32
25,13,7,48
41,14,5,10
28,14,1,41
46,14,9,41
29,14,2,5
30,15,2,25
50,16,3,29
45,16,0,17
25,16,6,18
29,17,8,27
26,17,9,20
48,17,9,21
38,17,0,28
26,18,3,10
25,18,2,8
31,18,8,40
45,18,6,9
31,18,2,13
41,18,5,12
44,18,4,32
30,18,0,49
37,19,8,30
29,19,2,16
48,20,0,0
29,20,4,34
34,20,4,3
34,21,7,49
32,22,4,31
42,22,8,39
46,22,7,3
50,22,0,12
40,23,7,21
28,23,8,1
28,23,5,27
35,23,3,32
28,24,4,37
25,24,5,28
45,24,1,13
34,24,4,5
47,24,9,31
50,25,0,15
40,25,1,38
34,26,7,47
32,26,3,20
50,27,7,40
35,27,6,40
37,27,5,45
43,28,9,9
34,28,7,5
49,28,7,34
41,28,2,14
29,29,1,29
44,29,6,46
39,29,3,11
30,29,9,26
50,29,3,43
27,29,9,36
28,29,2,2
42,29,0,6
26,29,7,33
40,29,3,30
39,29,8,24
42,30,4,2
36,31,3,19
26,31,1,2
35,31,1,1
33,31,7,6
42,32,2,37
48,32,3,34
30,32,7,14
25,32,9,2
49,33,2,30
43,33,8,36
44,33,1,45
49,33,7,35
49,34,4,16
29,34,2,39
48,34,2,35
32,34,8,32
39,34,3,39
50,35,1,41
31,35,8,1
50,35,1,33
27,36,5,44
48,36,3,38
32,36,4,6
31,36,8,22
30,37,3,38
35,37,5,19
41,37,6,9
34,37,5,22
35,37,5,10
36,38,1,49
32,38,1,37
46,38,1,43
39,39,5,42
35,39,4,44
50,39,4,16
30,39,6,25
37,39,7,31
30,40,8,28
50,40,8,3
46,41,8,9
34,41,5,25
30,41,5,8
35,41,6,34
49,41,7,0
35,41,2,0
40,41,1,45
35,42,5,24
29,42,2,4
46,43,5,36
45,43,8,27
48,43,5,46
48,43,8,29
41,43,0,43
33,43,3,3
39,44,9,17
46,44,7,22
35,44,9,26
32,44,3,33
47,45,8,44
27,45,9,4
48,45,4,19
36,45,0,13
29,45,2,19
29,45,4,38
39,46,2,23
43,46,4,8
50,46,1,31
43,46,1,39
50,46,5,23
50,47,9,37
26,47,4,30
50,47,1,23
50,47,0,18
47,48,5,24
40,48,9,4
40,48,1,48
31,48,3,11
28,48,2,47
49,48,0,29
41,48,7,11
27,49,8,47
25,49,1,7
45,49,9,20
40,49,0,11
