volume,class_1,class_2,class_3,class_4,class_5
1.67,8,2,14,35,18
4.25,5,1,29,11,32
1.87,5,14,10,17,20
4.94,0,16,8,18,12
4.93,20,3,24,8,29
4.38,10,1,25,30,14
2.6,8,15,4,18,7
1.09,8,9,7,18,26
2.08,7,12,11,31,13
2.49,6,9,10,34,11
1.76,15,3,11,2,12
1.8,8,12,7,20,10
2.68,23,15,8,4,23
4.38,10,2,26,1,7
2.81,0,0,9,39,7
4.54,1,11,9,27,3
2.66,22,0,21,35,6
2.29,4,1,1,21,6
2.07,9,3,13,42,4
4.22,11,7,25,16,19
3.89,6,3,14,35,15
3.84,0,6,24,5,28
2.01,5,7,5,20,32
2.44,8,9,24,37,22
2.4,17,11,19,15,7
1.92,0,6,0,12,29
1.19,12,3,28,23,14
2.4,14,12,0,17,31
2.05,24,5,18,39,9
2.3,18,12,0,42,12
4.69,23,16,27,20,11
1.45,10,13,24,31,23
2.69,17,8,2,2,11
4.48,19,11,29,10,8
1.97,4,11,3,12,1
1.18,8,0,13,21,18
4.56,18,0,4,37,7
1.27,23,14,10,42,4
2.22,24,12,17,6,15
1.41,9,9,27,43,1
1.14,16,0,20,18,2
4.23,7,15,24,6,19
1.74,0,3,26,29,8
1.19,21,15,16,9,4
1.83,1,7,2,36,0
1.76,11,14,23,12,2
4.87,20,5,19,25,7
2.81,14,6,4,13,7
4.46,11,7,7,23,18
3.39,0,2,24,12,3
1.75,15,15,29,37,23
4.19,6,5,8,3,26
1.09,14,14,14,26,9
4.27,17,0,6,40,31
4.43,8,4,18,41,23
2.8,4,11,26,4,6
2.88,14,6,5,12,0
2.37,2,6,5,27,9
4.3,22,6,21,35,26
3.73,24,13,1,10,20
3.82,5,0,4,3,14
2.39,17,12,11,33,9
1.01,15,9,7,22,2
1.11,18,15,19,10,20
4.58,18,11,1,8,17
1.88,4,4,9,7,6
3.18,18,13,3,2,8
3.37,8,1,16,31,16
1.08,20,0,21,7,27
4.87,16,16,27,1,12
2.36,18,8,27,0,10
4.57,14,2,25,7,27
3.96,11,13,21,24,21
1.09,17,12,2,42,23
2.53,0,3,2,7,19
4.84,0,8,7,29,27
2.86,21,3,16,14,0
2.67,21,13,20,35,4
4.22,5,7,2,20,5
3.86,3,12,0,16,21
2.92,6,11,8,5,28
1.25,10,7,9,43,11
4.12,18,2,21,5,3
4.89,14,9,20,38,27
2.06,5,7,4,26,25
3.77,6,15,16,7,22
2.11,4,15,16,21,23
2.41,11,5,1,26,22
2.76,21,5,4,24,19
3.28,20,13,13,26,21
1.1,19,1,28,36,22
4.42,24,4,19,26,32
4.69,0,6,23,22,12
2.4,18,14,25,8,13
1.58,11,1,7,17,30
3.88,0,16,9,34,23
1.62,11,8,11,31,18
2.57,10,8,15,1,1
4.63,6,13,12,43,29
1.23,3,14,16,4,3
1.21,22,3,1,8,1
2.66,11,6,4,42,28
2.18,7,9,24,38,0
4.23,7,0,21,31,21
3.37,9,3,25,1,11
1.79,11,13,6,36,8
3.65,8,0,27,26,7
4.48,14,1,5,34,28
3.17,1,14,6,14,15
1.58,21,7,6,27,4
2.73,15,6,26,19,6
4.28,16,7,2,37,5
2.85,4,2,10,28,23
4.16,4,5,18,32,32
1.33,24,2,22,7,5
2.34,1,0,21,10,31
3.35,5,10,25,22,5
3.32,8,9,13,32,30
1.64,8,10,1,29,22
1.89,5,13,3,37,19
2.88,18,7,6,1,16
3.13,20,16,21,13,11
1.03,9,5,7,29,31
4.31,8,7,21,22,6
1.37,10,1,9,20,30
4.61,23,12,6,24,17
4.44,3,11,2,35,8
1.96,13,0,10,38,6
2.13,3,6,10,17,27
4.17,9,5,7,34,9
4.51,5,6,6,6,25
3.39,6,15,26,13,6
3.77,10,13,3,37,16
1.93,5,10,16,2,25
4.8,24,11,27,6,25
2.16,14,4,1,23,32
4.74,2,0,24,18,7
1.75,1,12,9,35,29
4.52,19,5,15,8,24
1.79,17,8,15,0,29
2.64,15,5,22,37,28
2.15,9,0,14,6,32
1.43,5,3,17,35,22
1.74,2,14,19,4,32
2.19,23,12,1,24,16
2.58,17,3,6,28,26
4.26,20,9,6,36,0
4.95,1,10,18,42,3
1.23,13,11,29,19,30
3.42,9,16,23,30,7
1.06,23,5,26,26,3
1.31,9,3,6,9,32
3.75,7,7,4,33,8
2.54,20,8,4,35,3
2.13,0,0,11,14,4
3.35,24,14,26,13,29
3.06,1,10,4,35,11
3.94,9,13,27,8,17
3.6,22,14,24,27,1
3.54,5,16,26,30,24
3.76,16,1,25,33,6
1.74,7,14,13,7,12
1.71,2,12,8,37,23
2.3,13,1,1,28,10
1.84,11,4,25,33,9
4.17,19,13,23,13,27
1.27,18,8,12,2,11
2.4,2,15,16,39,13
3.17,7,4,14,9,24
2.97,22,16,3,37,29
1.12,18,1,20,7,1
1.65,24,3,4,3,23
3.7,8,10,3,37,22
4.6,0,6,6,43,20
2.46,20,2,8,43,11
2.91,23,9,28,3,16
1.06,0,13,13,24,28
3.34,9,2,27,32,10
4.36,4,6,0,42,1
4.36,10,9,12,32,6
4.08,22,16,15,12,11
3.24,17,0,10,23,3
3.85,18,5,9,27,24
1.38,0,2,15,4,9
3.89,1,13,11,34,0
1.88,10,13,23,5,11
1.69,22,8,27,7,26
1.14,22,2,12,28,10
1.97,13,14,3,20,28
4.36,13,13,28,35,16
1.92,5,16,19,7,28
2.32,15,4,15,6,23
4.44,1,8,4,7,7
3.75,12,6,17,38,1
1.6,13,15,25,18,17
2.67,0,16,24,42,4
2.87,17,11,27,14,27
1.55,24,11,13,27,9
1.12,16,13,22,31,14
3.59,17,2,14,4,22
3.6,22,1,19,35,6
1.48,19,12,7,32,16
2.61,7,11,8,41,13
2.3,5,8,14,1,5
2.33,11,9,13,25,27
1.6,12,6,4,11,1
1.46,17,4,29,37,31
3.3,16,1,5,27,3
3.75,3,10,15,22,3
4.28,17,11,9,40,19
2.71,22,13,12,23,21
3.43,12,0,17,10,21
1.96,20,7,12,39,2
3.21,0,9,20,40,17
3.73,6,6,15,2,12
4.6,10,10,0,15,7
2.95,19,1,26,33,27
2.91,11,16,1,25,9
1.15,22,12,3,40,4
3.74,10,9,23,37,2
2.23,10,1,2,43,8
3.24,5,11,4,18,0
4.28,4,16,7,23,22
2.77,11,8,27,5,4
3.66,4,8,3,5,14
1.32,19,13,18,14,7
4.36,20,10,3,42,5
4.92,13,5,1,29,14
3.62,5,4,11,28,18
4.9,6,10,27,6,17
2.48,5,9,15,15,6
3.04,0,12,29,36,23
4.02,11,16,24,5,5
4.4,11,5,19,43,21
2.64,15,2,15,31,29
1.36,17,14,3,36,12
2.6,5,15,22,35,8
1.07,19,16,14,34,5
2.28,21,9,3,15,22
3.89,3,12,21,42,14
3.08,11,8,19,34,22
3.87,2,3,8,39,10
2.67,9,12,18,4,6
3.13,22,11,11,21,30
1.23,16,10,16,29,19
4.26,9,14,1,16,29
4.92,0,12,26,13,9
1.59,8,4,29,39,18
3.24,6,5,0,7,8
1.46,21,1,16,9,2
6.04,18,13,8,35,14
6.0,19,13,3,32,7
7.21,2,7,28,33,24
5.69,20,8,16,43,30
9.24,4,12,13,14,13
7.93,16,2,0,26,15
9.35,14,16,8,36,25
6.46,8,0,3,13,27
8.6,7,9,1,23,27
8.2,8,1,13,25,7
5.9,7,1,16,32,9
5.17,19,6,8,19,7
7.21,18,7,7,28,27
6.0,19,1,2,4,14
6.31,16,8,7,25,10
5.14,6,10,23,4,30
8.03,18,14,2,42,27
7.89,16,7,3,36,3
5.98,23,1,27,13,14
9.37,14,3,6,11,7
9.41,9,5,13,17,24
6.68,11,8,29,20,24
9.22,24,10,3,22,6
6.13,8,3,10,10,27
5.75,9,16,10,21,5
6.8,5,4,7,36,12
7.25,5,6,26,4,4
8.33,0,15,19,33,28
5.41,10,4,15,32,5
5.79,21,12,13,22,21
5.79,17,3,9,3,8
8.28,11,15,27,15,27
5.98,5,11,1,14,21
8.05,9,6,10,5,18
9.94,13,6,7,41,6
5.66,23,16,4,34,25
5.9,19,5,1,27,13
5.39,18,1,16,42,21
8.6,16,15,24,27,21
9.73,22,1,28,9,7
8.0,0,9,5,33,13
7.56,11,6,14,42,19
6.65,22,8,20,6,30
7.18,16,15,15,10,12
9.67,10,8,14,20,20
8.19,17,0,22,40,12
8.32,7,9,2,31,19
6.19,10,14,0,31,11
5.52,8,16,13,27,2
8.01,4,6,7,38,7
7.29,23,6,12,24,12
5.19,5,14,14,42,16
9.11,18,12,23,40,3
8.62,23,12,25,42,9
6.71,24,14,21,35,19
6.47,11,14,21,3,24
8.32,20,0,20,15,7
6.67,8,12,0,23,15
8.63,10,6,19,30,28
5.91,1,15,27,20,19
5.58,4,4,18,0,8
7.31,23,15,12,19,3
9.8,13,7,22,3,25
6.02,23,14,12,38,27
7.6,23,11,7,30,19
8.24,15,5,1,25,22
9.09,14,8,19,36,20
7.72,19,8,21,9,23
6.77,5,4,26,10,26
5.97,23,1,7,38,27
6.8,19,11,25,33,5
7.02,2,6,9,36,29
6.86,3,13,18,11,26
6.22,5,11,16,34,22
6.5,16,3,21,33,7
6.79,14,2,7,35,6
5.73,21,2,7,36,16
6.36,17,15,11,29,17
9.48,21,12,8,31,21
5.92,8,5,1,37,26
8.96,7,8,19,27,1
9.24,0,14,0,24,26
6.03,18,2,10,10,1
7.71,22,2,15,17,4
8.92,16,4,1,26,15
8.36,17,10,24,2,4
5.79,21,10,25,41,13
7.9,0,13,9,30,29
5.28,4,9,6,30,14
9.89,15,9,6,18,26
5.1,20,2,3,37,32
7.14,1,13,11,3,32
5.2,2,7,24,24,18
6.54,20,1,6,1,10
9.49,23,6,8,27,17
6.76,3,11,1,28,29
5.93,12,7,18,26,7
8.59,12,2,29,32,4
7.61,22,1,6,38,4
9.5,9,10,14,2,16
6.5,16,7,15,19,32
9.23,10,1,7,1,7
6.98,13,4,8,30,29
7.42,20,2,4,4,26
9.88,18,14,28,29,10
6.0,17,14,6,32,17
9.03,24,1,17,28,22
5.45,20,15,18,7,17
8.3,20,8,4,33,27
9.87,6,7,6,13,8
8.69,8,11,16,15,26
7.79,8,0,4,6,31
8.51,21,15,2,12,28
6.01,20,15,11,23,26
8.99,6,16,1,19,32
7.94,4,9,24,7,14
9.13,9,14,27,41,17
5.33,3,12,9,39,5
8.05,1,11,11,0,24
5.53,24,16,12,20,0
8.29,17,11,9,7,11
7.24,13,7,7,0,0
6.91,3,14,9,25,22
8.93,3,6,24,33,24
6.08,23,3,19,29,8
6.73,18,16,9,12,10
7.98,13,2,17,30,24
6.93,11,4,2,24,23
6.08,11,11,7,20,16
9.91,18,5,5,5,21
7.12,7,15,8,1,24
8.84,9,5,17,14,10
9.15,24,10,17,28,8
5.68,15,12,3,0,16
5.6,13,7,23,27,12
5.23,22,10,28,8,30
6.67,23,6,28,27,17
9.81,4,4,19,27,11
9.36,12,5,22,23,26
9.47,18,1,15,35,2
7.95,3,15,16,22,28
9.03,13,6,18,13,4
6.86,6,5,13,23,17
9.6,6,1,29,10,24
7.59,9,16,12,12,21
9.24,14,14,8,35,18
8.11,24,8,14,29,28
6.16,11,11,16,9,5
9.5,6,6,8,37,1
8.78,11,11,16,17,28
5.56,21,0,6,24,9
8.83,15,11,9,15,27
6.49,21,7,10,36,8
7.24,6,9,9,40,20
6.82,17,7,1,39,26
8.61,14,0,12,21,6
9.3,2,7,12,2,29
7.68,15,7,21,15,23
5.26,16,14,24,14,11
6.65,16,12,29,5,11
6.34,21,16,21,2,7
8.8,22,6,26,36,1
8.98,3,2,25,18,31
8.89,23,7,19,42,4
9.11,14,15,17,37,7
