volume,class_1,class_2,class_3
2.51,25,4,8
4.78,24,10,10
3.5,16,8,5
3.56,24,9,2
4.85,8,1,1
1.68,5,0,2
1.47,19,9,3
1.85,11,3,6
1.69,13,7,1
4.0,18,5,12
2.79,0,7,8
2.58,5,11,13
3.46,20,11,6
3.8,4,7,14
4.2,16,10,11
3.28,7,6,5
1.91,3,1,14
4.35,22,9,4
4.61,8,11,14
1.66,25,5,11
4.63,23,0,11
4.28,20,3,7
2.13,8,0,1
2.44,1,9,0
1.61,23,1,12
4.43,10,4,8
2.24,25,3,5
4.65,12,12,10
4.96,25,10,5
3.92,12,12,8
1.17,11,3,5
4.14,9,3,11
3.0,24,12,14
1.21,9,11,12
1.21,5,2,4
1.15,7,12,6
1.52,8,10,7
2.68,0,0,5
3.04,5,6,3
2.14,2,5,11
2.96,22,7,3
3.64,25,5,5
4.27,25,4,8
2.89,13,12,14
3.08,6,11,7
1.96,23,9,13
2.45,6,3,0
3.86,15,6,0
4.79,21,4,13
2.51,11,8,0
4.16,20,9,1
1.73,17,5,8
2.21,13,12,6
2.57,4,5,10
4.35,24,3,14
1.09,1,6,8
2.29,2,8,2
3.09,6,2,1
1.42,9,10,8
3.79,8,3,5
3.41,3,7,8
4.99,4,5,8
2.35,13,3,14
6.92,3,6,7
7.54,10,9,12
9.59,17,10,9
9.39,3,12,12
9.47,5,9,8
9.28,2,10,5
6.46,7,6,14
8.03,2,2,10
5.17,2,3,11
6.59,2,10,7
7.14,24,3,9
5.1,25,2,3
8.81,25,3,13
8.32,2,9,4
7.64,9,12,9
9.91,13,8,10
5.86,11,11,10
8.19,13,7,5
6.2,10,8,1
5.2,20,3,4
7.66,7,6,0
8.35,19,5,5
6.21,0,9,14
5.33,11,6,1
9.16,0,2,15
6.68,15,11,0
6.6,18,10,13
7.9,24,4,4
5.95,3,6,12
7.58,8,0,2
6.49,24,9,6
5.63,4,7,12
7.25,0,7,8
8.54,18,9,0
8.43,24,9,11
7.96,9,5,6
9.73,4,8,14
6.12,1,8,15
7.71,5,12,5
8.92,17,8,11
6.45,8,3,12
9.61,5,2,6
5.93,12,4,11
5.56,3,3,2
8.73,9,10,14
9.16,25,7,4
9.69,13,10,4
8.1,8,7,1
6.03,9,10,9
9.83,22,2,11
9.3,11,0,11
8.8,1,7,11
6.77,13,11,9
8.01,1,11,6
8.46,16,9,2
7.31,16,1,14
8.21,6,12,12
7.9,21,9,9
6.98,20,5,10
5.6,23,4,6
6.2,0,3,2
6.36,1,10,5
5.15,12,10,4
6.94,6,10,13
5.13,11,7,3
9.58,10,7,6
7.44,24,7,14
5.05,22,1,4
9.81,7,4,2
9.43,13,7,10
8.54,14,2,1
9.34,25,1,10
6.8,2,11,14
5.73,12,3,4
8.88,24,8,3
5.32,2,5,14
9.72,22,0,15
7.07,12,6,2
7.89,4,12,0
5.1,7,8,3
7.53,23,1,5
8.79,15,5,15
9.68,9,11,4
8.6,24,7,6
7.28,1,1,7
5.95,7,3,4
9.48,7,11,6
8.41,20,9,1
6.11,22,5,2
6.68,18,3,11
8.22,11,4,7
6.62,2,3,15
9.01,0,1,1
5.89,22,1,3
7.47,14,6,1
8.53,25,1,9
6.51,9,0,1
6.89,16,8,7
9.4,6,6,5
7.7,6,1,13
7.65,15,6,13
6.32,5,0,1
8.01,17,2,15
6.91,15,0,11
7.83,22,10,3
6.1,6,2,2
7.29,19,10,13
8.66,24,12,15
8.03,19,7,7
7.65,9,0,14
8.08,17,12,12
9.4,16,7,15
8.1,7,0,13
5.82,2,10,11
5.44,3,12,14
6.19,11,12,5
8.86,12,5,1
8.58,21,5,3
8.97,16,7,6
8.27,8,4,8
6.77,11,6,15
5.16,7,0,6
5.64,0,1,2
9.04,23,1,14
7.45,2,7,8
11.54,15,7,6
13.86,14,7,12
12.3,16,3,12
11.11,7,11,9
12.87,3,12,11
14.74,11,4,4
14.67,10,10,6
10.7,18,6,9
11.53,6,8,7
10.8,23,6,4
12.82,14,4,3
12.76,3,9,13
10.32,15,3,1
10.65,13,0,4
10.48,1,3,14
14.67,15,7,2
11.32,3,4,8
14.65,18,1,6
11.16,14,8,10
12.09,14,2,5
14.41,23,0,15
14.97,22,10,10
12.57,24,8,4
10.78,5,10,15
10.01,4,11,15
13.1,4,3,10
14.46,7,9,7
11.86,25,9,5
12.21,11,8,7
11.87,1,0,4
11.38,5,7,8
13.07,17,3,10
10.22,20,4,8
12.37,1,9,11
11.27,14,12,13
11.49,10,4,10
11.93,0,1,4
13.79,6,3,12
14.31,22,11,0
10.67,22,2,9
11.33,21,10,7
12.24,4,8,3
12.22,6,8,11
11.44,9,8,15
10.08,14,1,12
10.32,5,4,12
10.77,13,5,0
12.81,16,0,11
10.46,6,12,13
10.39,4,11,15
11.89,15,6,7
10.59,4,3,14
13.08,17,10,15
11.29,2,6,10
11.72,0,10,10
10.76,8,9,11
13.06,25,0,9
14.25,12,4,7
10.12,6,4,15
13.27,8,5,1
14.92,3,4,13
10.29,6,0,0
