volume,class_1,class_2,class_3,class_4
2.65,2,5,15,2
1.99,2,9,14,5
3.82,4,12,15,1
3.06,3,11,18,4
4.6,4,13,20,6
1.61,8,5,3,7
4.3,10,13,1,0
2.46,0,4,3,6
4.97,6,5,0,9
3.48,4,8,16,6
2.48,10,5,14,4
3.57,8,2,1,9
4.92,0,1,18,6
1.31,7,2,19,5
2.27,6,4,10,9
3.47,4,8,13,10
2.52,10,9,15,7
4.54,9,9,10,0
3.37,1,1,6,5
3.21,7,9,15,9
2.49,8,11,10,4
2.51,0,7,4,1
1.62,4,11,7,10
4.39,3,7,16,10
1.54,9,3,2,10
3.51,0,8,16,8
1.64,5,5,4,1
3.14,9,10,10,6
2.26,4,4,1,2
4.32,4,1,3,7
3.41,5,1,6,0
4.95,5,12,0,7
3.68,5,8,11,2
3.75,10,8,15,5
3.57,3,9,10,1
1.14,5,8,16,0
1.36,5,2,0,1
2.95,0,9,1,9
3.69,1,5,8,4
4.3,9,7,17,5
4.19,2,11,10,7
2.56,2,7,6,9
3.17,8,5,15,10
1.5,6,11,0,0
4.29,1,9,13,10
4.66,5,11,18,7
3.13,0,6,19,6
4.67,7,1,1,2
2.07,8,4,1,10
4.89,3,6,16,6
3.44,2,12,12,1
3.92,2,3,9,9
2.53,9,7,3,2
1.7,5,7,11,1
4.12,8,4,14,3
3.38,1,10,4,10
2.2,6,0,4,2
2.07,4,11,14,9
1.48,7,9,11,7
3.67,2,5,13,4
1.45,1,0,3,10
1.27,2,12,9,5
4.61,8,5,11,2
8.62,7,13,16,3
7.96,8,5,1,8
6.19,4,11,19,5
8.17,3,3,6,9
7.51,2,7,4,7
8.29,5,3,20,4
5.51,9,2,7,7
8.07,7,13,14,9
5.0,8,5,19,2
5.78,3,7,7,10
5.87,1,13,4,10
8.31,8,11,2,5
9.33,5,1,9,1
7.07,6,13,11,6
6.83,8,1,16,7
7.67,10,3,18,2
7.45,8,0,17,7
9.03,1,8,9,8
8.38,3,6,6,7
7.8,8,3,15,0
9.42,10,11,14,5
6.84,9,9,9,5
9.82,10,10,14,4
9.23,6,8,0,4
5.38,10,4,7,8
8.51,6,8,16,0
9.89,5,8,12,6
9.18,2,9,16,9
8.25,4,12,0,7
7.45,2,4,20,7
7.92,7,0,16,5
5.52,2,13,6,8
6.28,6,10,9,10
6.71,7,4,1,10
9.79,3,9,0,0
7.49,1,12,9,5
7.76,0,11,19,9
9.34,3,1,14,10
5.78,7,8,10,0
6.37,1,5,9,4
9.52,5,0,13,10
7.57,10,6,7,2
6.26,9,10,12,5
7.54,8,10,3,4
5.66,1,8,15,6
6.56,10,12,3,6
6.78,0,3,2,6
8.75,1,6,12,4
9.8,5,7,14,2
5.32,0,11,10,9
6.24,4,13,18,1
9.15,8,3,1,8
9.39,10,5,11,2
8.5,1,11,5,9
8.27,1,11,9,6
6.9,4,11,2,9
7.1,8,3,15,0
5.27,5,1,12,3
9.93,1,7,3,1
9.61,1,12,12,4
7.56,4,9,14,1
6.89,4,6,20,1
6.12,9,2,11,0
9.92,6,13,2,3
6.79,0,4,15,10
6.93,6,3,17,9
9.07,4,11,18,4
9.23,9,13,15,5
7.49,9,2,18,6
6.25,2,4,2,5
9.46,3,11,0,10
7.71,8,13,15,0
8.22,6,6,13,8
6.35,4,13,3,3
7.02,2,13,15,6
6.05,7,9,0,9
8.37,4,4,2,10
9.87,1,11,8,4
9.25,0,7,11,4
7.06,2,5,5,7
6.0,3,2,13,4
7.63,1,4,7,8
9.78,1,1,8,7
9.88,0,12,19,4
9.77,5,0,19,7
9.0,1,4,3,2
7.35,8,8,4,1
5.36,2,6,13,2
5.88,10,12,1,10
9.64,3,6,11,5
7.97,3,0,19,4
5.58,3,11,8,1
8.44,4,13,10,5
6.24,7,2,6,8
6.16,7,5,11,3
5.21,3,1,6,3
8.36,4,2,7,3
8.17,6,12,1,2
9.07,2,6,6,6
7.47,4,11,11,9
8.55,7,2,17,8
6.21,1,5,2,9
5.19,6,5,3,4
8.94,1,9,15,3
7.38,4,12,3,9
8.48,10,13,12,10
7.38,8,5,2,5
8.67,1,1,16,1
7.24,10,7,14,3
8.16,10,3,11,1
7.06,3,3,18,0
6.59,2,13,17,6
8.78,8,5,15,8
8.16,4,10,19,6
5.01,1,12,3,0
8.14,0,13,6,9
8.14,0,11,2,5
8.3,5,7,11,5
9.39,3,10,5,1
9.42,10,13,9,8
8.24,5,11,11,8
6.46,4,4,2,2
8.6,5,4,18,3
5.24,0,5,15,2
7.5,0,10,5,0
14.67,4,2,4,6
13.87,6,2,17,5
13.6,5,12,15,1
14.55,4,9,9,10
11.48,1,9,15,10
14.75,6,2,0,8
13.31,7,13,5,2
10.07,0,12,18,2
14.55,2,2,5,10
12.72,5,9,10,2
14.05,8,1,18,7
14.24,2,7,8,9
10.52,5,4,16,4
14.99,8,9,17,5
12.91,3,9,11,4
10.03,9,10,14,9
11.96,9,9,2,2
12.16,3,8,19,10
10.19,9,10,9,10
14.57,5,2,18,3
12.18,8,13,13,1
10.99,10,10,6,0
13.79,8,4,1,5
12.48,5,5,16,4
13.86,8,13,4,10
11.97,6,3,5,3
12.86,3,4,10,7
12.96,9,5,20,9
14.51,4,5,14,5
12.85,8,2,0,4
11.2,9,11,0,4
12.9,4,6,2,8
12.21,1,9,5,8
12.2,5,3,18,9
12.51,0,4,15,8
11.13,3,6,19,10
14.27,10,12,7,1
14.23,0,11,13,0
14.77,1,7,8,5
10.49,2,8,15,0
11.13,1,1,4,9
13.88,2,10,5,4
11.84,10,6,1,0
11.33,10,5,5,3
14.26,0,6,19,3
14.18,7,13,4,10
14.25,9,3,9,10
13.04,4,4,2,9
14.26,1,2,14,2
14.28,1,5,11,10
11.42,7,6,16,9
10.37,8,7,16,5
10.64,7,7,1,9
11.72,8,13,17,10
12.68,0,11,7,8
10.56,5,10,9,10
14.35,8,6,4,3
12.27,2,6,10,7
13.31,7,0,5,8
10.5,0,8,9,7
12.31,8,4,2,9
10.64,2,1,11,9
