volume,class_1,class_2,class_3
4.32,11,73,34
2.1,11,66,48
4.04,16,2,15
1.13,11,69,55
2.13,14,14,49
4.48,19,44,5
1.67,35,76,12
2.9,9,57,8
1.37,31,73,58
4.47,34,43,52
1.89,30,56,63
1.53,7,32,34
4.36,8,3,14
4.26,39,25,7
4.26,22,66,38
3.58,0,36,22
1.68,6,77,40
3.15,32,36,48
1.15,38,84,18
4.81,22,42,48
1.46,4,69,47
4.04,38,49,56
1.09,26,35,44
2.39,4,25,50
4.52,20,21,20
4.08,26,7,22
4.02,34,2,29
4.84,0,27,5
3.15,30,57,53
4.0,27,17,60
4.17,17,49,23
4.71,39,53,38
4.55,41,39,1
2.62,28,43,58
1.42,30,41,62
4.13,17,18,38
2.0,23,82,60
3.51,13,70,63
2.38,30,35,50
1.09,25,5,60
1.07,20,71,15
1.37,1,63,51
3.63,9,32,41
3.64,26,23,6
4.76,8,23,36
3.27,2,43,19
4.8,23,78,48
3.44,30,49,58
2.81,14,51,30
3.7,39,85,54
4.66,29,62,49
2.9,21,84,28
2.71,41,58,31
3.4,20,86,48
4.73,6,87,21
2.27,16,57,3
4.98,1,8,15
2.62,7,35,40
3.42,39,14,4
4.8,11,16,13
4.24,2,79,0
1.15,36,65,55
4.23,35,33,9
2.46,39,50,52
3.55,11,54,53
1.39,24,52,23
2.06,9,29,6
1.24,39,78,43
2.21,27,56,55
4.57,3,50,29
3.95,39,83,3
4.63,33,9,13
3.33,3,11,37
4.77,20,56,31
4.4,36,12,46
3.86,4,23,27
3.03,29,14,55
2.77,6,0,23
3.68,18,60,34
2.95,8,78,13
4.06,14,43,40
5.0,38,79,9
2.52,40,5,33
1.23,39,28,55
1.39,9,36,61
1.67,13,8,23
3.52,16,78,41
1.64,20,32,59
2.06,22,75,41
1.83,17,10,18
4.6,7,51,21
4.5,4,82,60
4.45,39,77,61
2.53,24,56,59
4.77,12,33,18
4.3,23,73,1
3.48,38,63,61
3.3,9,11,5
2.45,24,87,27
2.34,7,52,23
4.72,23,21,52
3.69,8,38,24
3.55,29,26,25
1.37,16,82,63
2.81,30,63,49
4.79,13,43,9
4.19,11,35,37
1.86,10,12,2
1.5,4,4,32
2.98,37,85,4
2.95,34,50,23
1.55,15,21,51
1.46,7,25,60
2.75,18,58,49
1.64,21,37,45
1.64,30,82,16
2.44,38,71,33
3.73,16,0,13
1.77,40,1,31
1.83,35,27,58
2.98,28,18,50
4.7,31,63,31
1.59,13,10,40
1.26,16,6,26
4.8,11,23,59
4.44,27,53,60
2.67,2,25,4
2.27,2,56,30
2.44,31,78,39
4.59,40,24,63
2.98,10,34,15
4.7,13,7,46
4.44,35,80,23
2.66,12,42,11
2.17,20,16,29
3.36,0,66,38
1.43,13,85,33
4.78,37,2,61
4.54,27,17,52
3.38,37,17,35
4.72,31,36,63
2.54,14,6,28
3.19,2,36,54
1.07,16,76,30
3.88,13,61,39
1.86,32,27,58
1.33,24,0,50
4.97,38,86,55
1.73,2,81,20
2.5,4,57,14
1.99,28,45,45
1.85,41,8,49
2.53,38,59,10
2.21,29,39,0
2.58,37,45,55
4.97,37,86,35
3.88,36,77,24
2.33,3,41,13
1.59,9,10,34
2.61,1,40,33
2.0,41,3,43
1.14,8,82,14
1.22,34,64,57
4.59,41,58,27
1.31,21,86,20
3.28,36,36,27
2.45,13,7,3
4.19,18,41,44
2.17,39,37,26
2.74,22,12,12
4.07,36,49,10
2.71,12,47,19
3.87,38,36,32
2.03,1,49,23
4.25,16,27,5
2.55,7,60,3
1.84,2,78,23
1.09,19,12,43
4.4,41,51,62
4.68,36,41,60
1.86,5,70,18
4.01,33,0,25
2.94,8,27,12
1.48,28,14,19
2.61,17,21,60
2.66,11,46,31
2.06,27,61,19
3.66,6,5,56
4.75,26,61,57
2.14,8,79,30
1.27,17,6,45
2.89,15,46,14
4.58,20,25,30
4.89,10,47,39
4.96,20,62,63
2.59,13,34,41
2.26,26,60,11
3.92,18,8,62
4.67,21,81,63
2.17,13,27,33
1.72,38,4,33
1.74,37,82,11
1.01,37,4,20
3.43,16,19,31
4.88,21,73,56
4.6,8,28,22
4.87,36,34,13
1.82,12,6,37
4.59,19,5,22
3.21,36,83,21
2.67,9,87,52
2.41,14,75,39
2.81,16,60,40
2.67,27,61,26
2.56,16,45,41
2.91,15,35,23
3.78,33,87,59
4.08,8,19,19
4.67,25,36,25
1.04,26,17,15
4.64,12,77,7
4.49,9,46,21
4.7,27,6,60
1.47,28,82,22
1.89,10,1,12
3.05,16,27,59
4.94,14,71,41
4.07,4,78,60
3.69,33,47,3
3.83,29,32,12
1.01,34,86,11
3.06,20,59,9
4.52,8,31,17
3.19,24,80,55
4.51,8,75,34
1.37,13,30,13
1.87,19,15,1
1.47,38,3,56
1.1,8,55,42
3.1,4,59,0
1.16,8,19,55
1.85,14,77,45
1.89,41,83,10
3.94,12,14,34
4.94,30,6,5
2.74,37,25,55
4.94,26,1,57
4.45,18,75,26
2.7,39,18,29
1.33,6,13,13
7.22,31,80,56
8.51,5,87,17
7.15,40,44,21
7.71,30,8,51
5.95,40,57,41
7.82,12,56,59
6.53,4,46,23
6.51,37,40,10
7.05,0,13,5
5.22,39,20,56
6.87,38,71,49
6.58,2,29,39
5.9,9,66,60
5.31,21,63,30
9.43,5,60,17
7.38,38,31,12
8.42,13,77,24
7.94,14,4,30
9.37,20,14,11
9.74,14,18,4
9.01,17,40,31
8.96,28,56,10
7.0,18,54,45
6.55,27,80,21
8.39,37,25,44
6.5,18,11,8
6.24,28,6,52
6.38,32,54,46
7.45,40,77,57
8.5,17,72,56
5.82,20,36,24
9.44,1,3,53
8.49,17,86,55
6.01,29,53,51
7.38,9,49,1
5.39,35,24,50
6.81,17,78,19
6.15,9,26,4
6.46,22,40,19
6.27,5,58,8
8.06,25,85,33
8.53,22,5,62
6.65,17,86,4
8.28,15,22,14
8.46,27,49,45
7.19,41,17,25
9.87,39,8,55
9.61,39,13,37
6.56,20,79,61
7.6,12,30,17
5.25,3,85,8
9.49,34,85,5
5.92,1,36,48
5.28,5,25,47
7.0,10,68,24
7.45,19,43,26
9.15,38,86,34
5.96,13,43,23
6.75,39,15,44
6.98,18,11,31
6.5,21,48,62
7.93,10,69,53
5.33,29,54,52
9.31,7,6,28
6.68,41,33,5
10.0,24,69,63
6.68,27,41,36
8.12,31,36,26
8.42,40,64,5
8.23,39,63,27
7.05,32,29,1
7.58,27,15,22
6.79,33,57,18
6.81,40,7,10
9.99,14,30,45
5.98,29,54,2
6.52,30,63,0
7.07,0,59,13
8.13,17,19,1
6.19,17,69,44
9.4,11,31,48
6.09,0,63,5
6.68,4,74,42
5.37,12,87,30
8.45,15,6,27
6.77,7,21,42
5.09,37,58,61
6.99,19,5,24
9.67,18,10,15
9.08,1,37,42
5.49,2,19,17
9.7,7,64,13
7.69,18,33,42
8.46,14,35,28
6.0,28,23,32
9.91,3,67,21
7.41,30,83,30
5.71,34,0,6
6.79,39,53,14
7.96,4,45,13
9.31,38,16,7
9.3,40,86,35
6.57,28,82,28
