volume,class_1,class_2,class_3,class_4,class_5
2.07,9,2,23,3,25
2.13,7,3,15,9,7
2.82,5,10,8,3,17
3.41,10,6,16,10,17
2.17,4,9,15,9,5
4.64,13,0,13,8,22
2.16,13,6,0,0,3
3.41,5,5,24,6,1
3.67,1,8,23,8,13
3.72,11,5,24,4,23
4.44,2,6,22,4,8
4.63,5,7,7,0,3
4.07,1,1,24,9,10
3.19,11,9,7,5,6
4.5,1,9,5,10,15
3.36,13,2,3,5,20
1.25,14,2,11,1,10
2.4,13,1,2,3,25
4.87,15,4,12,8,8
1.19,1,8,19,10,1
4.26,15,6,18,2,7
3.97,2,10,6,9,18
3.68,10,7,23,5,5
4.85,2,2,4,4,6
4.65,9,2,3,9,11
3.38,3,7,13,6,13
2.69,2,0,23,10,15
2.25,1,3,9,8,14
2.22,15,7,18,8,16
1.58,11,2,14,5,8
1.44,8,0,17,4,3
4.32,11,3,4,1,18
3.63,9,3,10,2,8
2.21,11,1,23,0,1
2.04,13,6,10,8,7
4.53,4,4,20,3,17
4.89,5,8,15,9,5
4.13,8,3,21,3,17
1.53,10,2,13,9,5
4.17,6,4,1,7,3
2.0,5,2,10,3,8
1.51,10,5,4,4,17
4.14,0,10,12,10,5
1.38,6,9,4,0,14
4.87,2,6,16,10,12
2.67,12,0,3,4,11
4.14,6,5,16,7,5
1.41,11,9,20,4,12
4.14,14,10,3,1,6
1.28,7,4,11,2,22
3.49,13,6,24,0,14
1.74,5,0,6,0,2
1.58,5,10,12,3,10
1.99,2,9,4,5,23
3.81,0,7,21,1,22
3.79,4,2,15,1,2
3.1,10,0,11,3,18
1.52,15,5,4,8,21
1.68,0,3,21,4,4
2.06,5,4,23,2,6
1.76,9,1,7,3,17
4.38,13,4,7,7,22
1.82,14,6,0,9,17
7.7,16,0,18,10,10
7.52,4,7,2,7,1
5.12,4,7,12,5,5
9.78,11,4,11,10,2
5.33,8,6,16,5,13
6.97,14,7,23,3,3
7.83,1,7,5,6,19
8.29,9,7,13,9,18
8.92,5,0,22,5,11
8.51,12,6,6,5,22
7.9,8,8,1,2,18
6.57,3,9,8,10,1
5.41,4,1,14,4,2
7.14,6,6,21,10,7
8.45,0,4,4,8,22
5.87,6,3,18,8,3
8.52,8,1,13,7,25
6.55,9,9,3,10,13
6.12,13,3,14,3,2
8.27,10,6,22,7,22
9.66,7,7,0,5,8
5.2,12,2,15,1,0
8.12,14,7,24,2,11
8.82,15,7,13,6,2
6.47,5,10,9,7,15
9.17,1,5,3,1,25
8.35,9,10,1,1,19
8.64,0,9,3,7,1
9.42,6,10,16,2,12
7.47,14,8,4,6,24
9.3,4,2,16,1,12
8.42,0,8,2,9,20
6.25,5,4,19,5,13
9.48,13,1,6,3,5
6.77,8,6,12,7,20
5.25,7,7,12,3,16
5.62,9,0,10,6,9
6.06,7,7,22,0,21
6.64,7,3,7,1,12
8.23,2,9,0,8,18
5.98,5,10,11,6,24
8.37,7,6,15,0,13
9.94,0,9,16,10,15
9.94,14,7,18,3,24
6.84,6,9,21,9,2
5.96,12,3,1,0,4
7.88,3,2,0,1,13
8.03,16,4,10,6,15
9.9,2,6,12,0,3
8.67,3,7,5,2,20
5.68,16,10,20,8,12
7.23,7,3,24,2,14
7.28,11,8,5,1,1
8.42,14,6,5,3,17
8.32,3,7,4,5,17
9.02,7,6,21,5,7
7.48,14,3,20,3,0
9.6,0,8,6,10,24
5.46,5,1,17,4,8
7.23,16,5,23,8,6
7.39,13,10,3,1,6
9.35,3,2,5,5,3
7.99,16,9,9,8,16
5.19,11,2,9,3,5
6.55,12,4,24,0,3
6.25,12,2,12,0,17
5.4,12,9,10,2,22
9.87,4,3,3,3,9
6.62,11,10,3,9,10
5.62,5,1,2,5,17
5.98,3,8,12,1,17
9.6,14,4,18,10,2
8.57,12,7,5,1,13
5.64,14,7,13,1,2
6.21,1,1,3,2,5
8.01,3,9,21,0,22
5.42,12,3,16,10,3
5.18,1,1,22,3,21
6.79,13,6,8,7,18
9.64,1,7,1,2,13
5.9,12,2,19,9,19
9.16,11,4,22,4,8
6.75,5,8,8,3,19
7.01,13,0,17,4,6
6.52,7,0,23,3,22
9.66,11,5,10,2,5
6.21,6,8,5,0,1
5.48,12,3,21,0,5
6.57,15,3,1,8,4
8.96,13,3,14,7,23
6.4,2,9,12,5,25
9.39,1,7,7,5,10
8.05,15,6,18,6,23
9.23,4,2,14,7,14
9.76,1,9,16,6,20
8.6,5,6,0,2,9
7.03,10,2,1,3,6
8.35,11,2,15,5,4
8.2,4,3,9,9,12
6.24,13,3,6,0,10
7.57,11,1,0,9,8
6.12,11,9,0,6,18
7.03,10,10,9,5,20
9.91,4,9,15,0,6
7.6,16,0,9,2,13
8.36,12,8,2,10,5
7.61,2,7,17,8,19
8.55,2,6,4,7,23
6.69,5,0,18,1,9
5.43,10,9,22,4,17
6.04,8,4,9,5,5
8.78,6,3,3,1,19
8.22,13,3,14,6,12
9.18,10,2,23,10,1
6.73,6,5,17,8,23
9.52,7,8,2,4,15
7.13,5,7,4,6,13
7.83,6,3,9,2,25
7.58,13,6,11,4,24
7.54,15,2,4,5,6
5.25,10,10,22,5,23
8.51,7,6,5,6,16
9.43,15,5,3,3,7
9.57,2,8,19,1,21
6.19,0,5,11,0,18
12.95,16,9,2,1,20
10.43,9,5,13,2,6
13.12,2,0,21,7,23
14.73,11,4,16,7,25
10.01,16,8,0,0,2
10.94,4,3,19,6,3
14.26,8,5,17,8,10
11.78,5,9,3,1,4
13.9,11,4,2,4,14
12.38,3,6,1,9,10
12.66,5,0,20,10,6
14.95,15,4,2,3,9
14.2,3,4,23,1,17
14.95,5,2,16,5,20
13.92,5,10,10,8,11
12.87,12,2,9,9,4
10.56,5,2,0,0,21
12.79,14,6,17,0,13
13.32,0,7,6,5,23
12.11,1,1,1,3,2
10.08,16,4,3,10,17
11.7,9,7,17,5,5
