volume,class_1,class_2,class_3,class_4
2.91,11,14,8,1
1.39,17,27,5,8
4.66,20,13,15,9
3.49,12,0,14,13
2.78,21,23,21,3
3.82,20,11,23,1
1.01,4,24,1,3
4.81,4,5,5,2
4.1,19,11,20,6
1.94,3,5,21,11
2.59,5,24,10,3
1.33,13,1,3,12
4.33,7,5,10,7
1.91,7,12,2,5
1.79,1,1,13,1
1.64,12,0,17,2
2.47,1,20,2,10
2.74,12,26,11,0
1.73,26,2,3,5
4.19,16,15,16,4
4.22,11,25,5,3
2.05,8,17,12,10
1.23,18,24,16,0
4.49,20,1,0,10
1.71,14,21,12,13
3.12,20,11,6,2
2.7,6,13,12,6
2.64,19,15,20,10
1.18,25,23,6,11
1.3,16,7,14,11
1.06,12,10,3,13
1.66,21,19,21,3
3.71,15,1,13,13
4.02,1,4,18,9
4.53,5,25,23,9
1.28,12,11,11,3
1.37,8,1,21,0
2.67,4,17,9,3
3.01,17,13,12,1
2.33,13,19,21,6
4.41,11,3,23,5
2.05,27,24,5,6
3.39,2,28,2,7
3.99,23,17,12,11
4.31,10,26,7,4
1.01,25,29,17,6
1.16,14,18,9,2
4.11,8,28,4,7
3.82,12,6,6,9
4.96,10,22,0,1
2.48,16,21,14,4
1.75,25,5,15,6
2.82,8,1,17,9
2.75,15,16,4,0
3.08,16,12,10,11
3.96,8,13,22,11
4.19,21,7,19,0
4.25,9,7,9,7
2.04,1,2,12,13
4.41,11,9,9,8
2.42,6,1,3,12
4.94,3,16,3,3
3.54,19,4,2,9
1.87,19,10,7,4
1.15,1,6,4,2
4.91,27,15,14,1
1.63,12,18,22,10
3.62,24,24,3,13
4.36,16,24,21,9
3.81,26,25,8,11
2.54,23,7,23,13
2.07,25,2,9,7
1.14,22,1,1,7
1.24,13,7,3,12
3.36,7,12,1,8
1.95,8,24,22,8
2.77,7,5,23,8
1.54,21,27,23,13
3.56,7,6,21,12
2.92,13,8,14,12
1.41,2,8,8,13
2.69,3,29,6,0
4.25,24,5,16,5
2.72,16,5,13,5
4.73,23,26,15,12
3.22,24,24,18,10
3.27,6,29,15,11
4.16,17,24,16,9
4.58,18,18,3,3
2.17,15,24,3,6
4.93,19,27,1,4
2.9,13,29,16,3
3.41,24,23,0,2
1.7,20,0,0,0
4.79,8,1,13,13
3.22,20,17,22,10
1.92,26,27,10,0
3.58,9,21,22,6
3.96,18,6,9,11
1.49,11,1,16,3
3.83,16,6,16,11
2.35,0,4,18,1
1.73,27,1,23,0
2.88,9,2,16,0
1.26,8,24,6,10
3.66,6,16,2,2
3.24,19,4,15,3
1.26,18,13,11,10
2.63,22,29,8,0
4.33,3,4,18,7
2.81,23,25,17,2
4.42,11,27,18,8
1.97,20,24,13,10
1.03,22,5,6,12
2.03,14,11,4,8
3.24,0,6,19,0
1.35,22,26,15,7
4.8,10,1,5,2
2.2,20,6,10,9
3.53,27,6,2,11
1.17,12,2,14,6
4.44,13,14,17,10
3.14,6,4,3,11
2.13,7,15,11,1
1.62,14,16,6,7
8.38,24,6,14,2
6.74,20,18,11,1
6.47,22,11,15,12
6.07,20,26,17,0
5.84,7,25,9,7
7.56,19,29,8,6
5.63,17,18,18,12
8.14,24,3,9,0
8.82,21,0,22,10
9.13,2,24,21,1
9.94,1,21,7,0
9.04,19,19,23,9
8.52,23,22,18,2
9.32,10,10,5,13
8.93,11,16,21,12
6.27,6,25,15,13
9.74,15,21,12,5
5.41,10,19,12,2
7.75,20,24,22,8
5.33,4,4,3,10
7.6,26,6,3,0
6.32,9,11,12,0
9.36,4,0,1,9
7.05,4,29,23,6
8.01,16,22,21,5
9.09,5,28,5,10
8.1,25,9,15,0
5.9,5,9,2,12
8.15,26,29,4,7
9.6,5,0,8,6
9.7,17,18,19,6
6.07,14,11,22,0
9.61,10,28,20,6
6.49,12,5,17,5
9.55,25,13,2,2
6.39,2,29,22,10
9.71,5,2,11,4
9.86,13,28,22,3
5.18,4,2,0,11
5.89,13,10,2,10
6.92,22,15,21,0
5.95,21,11,3,7
6.96,21,3,5,4
9.44,11,21,2,0
9.35,6,20,21,11
9.11,18,12,3,1
8.59,27,9,12,11
9.91,14,18,3,3
8.99,12,25,15,0
9.03,7,7,13,5
8.52,22,22,22,0
8.06,3,26,20,3
6.26,16,16,9,8
9.16,17,24,20,12
7.28,13,0,5,13
9.65,13,11,4,11
6.45,14,24,12,4
9.93,26,10,3,1
6.4,21,13,10,8
8.88,4,4,11,8
5.93,2,29,11,5
5.14,25,4,5,0
5.14,2,8,21,5
5.24,26,19,18,8
9.75,8,20,11,6
7.86,9,2,0,1
8.59,18,1,20,5
9.57,21,7,3,11
5.13,27,25,16,10
8.61,12,5,6,13
7.32,9,15,9,2
6.04,1,24,12,1
8.95,14,3,12,2
5.31,3,5,16,10
6.15,14,16,18,10
6.1,6,10,7,12
9.01,26,20,17,5
5.83,5,21,11,8
5.47,3,21,17,13
5.23,26,12,11,2
5.06,3,2,5,3
5.46,11,20,18,6
5.08,17,5,2,10
9.07,5,10,8,10
8.63,11,1,16,12
7.8,8,17,1,1
5.97,14,18,14,4
5.73,9,21,17,1
6.12,0,16,15,9
7.2,14,1,21,4
8.93,21,25,2,10
9.91,9,2,3,12
5.24,23,9,11,5
5.81,22,12,13,13
7.73,11,22,6,3
9.21,12,14,12,0
5.95,9,17,4,6
9.53,18,2,12,5
7.92,12,19,1,2
9.15,21,13,1,9
8.92,17,19,1,2
5.88,15,25,20,9
9.45,2,8,14,9
6.96,25,26,7,7
8.1,4,15,6,11
6.14,18,2,7,7
5.2,21,1,0,11
9.36,27,22,23,2
7.68,17,12,11,13
5.17,22,5,22,8
6.03,4,16,4,9
6.05,14,1,19,11
8.57,10,21,8,11
