id,solver,instance,n_items,n_classes,type,objective,solver_wall_time,best_bound,opt_gap,termination_reason,columns,iterations,iterations_heuristic,iterations_exact,frac_iter_heuristic,frac_iter_exact,time_master,time_sub,time_sub_heuristic,time_sub_exact,frac_time_master,frac_time_sub,frac_time_sub_heuristic,frac_time_sub_exact
1,colgen,set3_t1_corr/I250_C3_1,250,3,1,3503.76,550.83,3503.76,0.0,OPTIMAL,2870,347,329,18,0.95,0.05,8.48,541.15,22.63,518.53,0.02,0.98,0.04,0.94
1,colgen,set3_t1_corr/I250_C3_10,250,3,1,3391.38,75.39,3391.38,0.0,OPTIMAL,2219,238,223,15,0.94,0.06,4.94,69.63,15.34,54.3,0.07,0.92,0.2,0.72
1,colgen,set3_t1_corr/I250_C3_2,250,3,1,3895.44,39.88,3895.44,0.0,OPTIMAL,2174,261,249,12,0.95,0.05,4.01,34.98,12.21,22.77,0.1,0.88,0.31,0.57
1,colgen,set3_t1_corr/I250_C3_3,250,3,1,3095.87,1011.69,3095.87,0.0,OPTIMAL,2865,295,279,16,0.95,0.05,9.07,1001.51,21.8,979.71,0.01,0.99,0.02,0.97
1,colgen,set3_t1_corr/I250_C3_4,250,3,1,3044.57,249.82,3044.57,0.0,OPTIMAL,2479,322,304,18,0.94,0.06,7.99,240.76,20.73,220.03,0.03,0.96,0.08,0.88
1,colgen,set3_t1_corr/I250_C3_5,250,3,1,3206.84,1147.44,3206.84,0.0,OPTIMAL,2867,352,332,20,0.94,0.06,9.64,1136.41,26.01,1110.4,0.01,0.99,0.02,0.97
1,colgen,set3_t1_corr/I250_C3_6,250,3,1,2715.32,41341.79,2715.32,0.0,OPTIMAL,3402,370,350,20,0.95,0.05,17.32,41323.13,43.58,41279.55,0.0,1.0,0.0,1.0
1,colgen,set3_t1_corr/I250_C3_7,250,3,1,4120.02,47.11,4120.02,0.0,OPTIMAL,2247,264,247,17,0.94,0.06,4.19,41.88,13.38,28.51,0.09,0.89,0.28,0.61
1,colgen,set3_t1_corr/I250_C3_8,250,3,1,2820.88,2896.84,2820.88,0.0,OPTIMAL,2999,357,339,18,0.95,0.05,12.62,2882.8,35.71,2847.1,0.0,1.0,0.01,0.98
1,colgen,set3_t1_corr/I250_C3_9,250,3,1,2515.88,61430.6,2515.88,0.0,OPTIMAL,3614,392,366,26,0.93,0.07,20.21,61408.89,59.0,61349.9,0.0,1.0,0.0,1.0
1,colgen,set3_t1_noncorr/I250_C3_1,250,3,1,3540.9,101.95,3540.9,0.0,OPTIMAL,2419,311,294,17,0.95,0.05,6.01,94.78,17.55,77.23,0.06,0.93,0.17,0.76
