id,solver,instance,n_items,n_classes,type,objective,solver_wall_time,best_bound,opt_gap
1,gurobi_lp,set2/Q1C1N3B1W1_0_BPP,200,1,1,9951,0.18,9951,0
1,gurobi_lp,set2/Q1C1N3B1W1_1_BPP,200,1,1,10432,0.18,10432,0
1,gurobi_lp,set2/Q1C1N3B1W1_2_BPP,200,1,1,9912,0.19,9912,0
1,gurobi_lp,set2/Q1C1N3B1W1_3_BPP,200,1,1,10495,0.18,10495,0
1,gurobi_lp,set2/Q1C1N3B1W1_4_BPP,200,1,1,10372,0.18,10372,0
1,gurobi_lp,set2/Q1C1N3B1W1_5_BPP,200,1,1,9643,0.17,9643,0
1,gurobi_lp,set2/Q1C1N3B1W1_6_BPP,200,1,1,10206,0.17,10206,0
1,gurobi_lp,set2/Q1C1N3B1W1_7_BPP,200,1,1,10471,0.17,10471,0
1,gurobi_lp,set2/Q1C1N3B1W1_8_BPP,200,1,1,10537,0.19,10537,0
1,gurobi_lp,set2/Q1C1N3B1W1_9_BPP,200,1,1,10684,0.18,10684,0
1,gurobi_lp,set2/Q1C1N3B2W1_0_BPP,200,1,1,9662.67,0.18,9662.67,0
1,gurobi_lp,set2/Q1C1N3B2W1_1_BPP,200,1,1,10056.67,0.18,10056.67,0
1,gurobi_lp,set2/Q1C1N3B2W1_2_BPP,200,1,1,10129.33,0.18,10129.33,0
1,gurobi_lp,set2/Q1C1N3B2W1_3_BPP,200,1,1,10411.33,0.18,10411.33,0
1,gurobi_lp,set2/Q1C1N3B2W1_4_BPP,200,1,1,9282,0.18,9282,0
1,gurobi_lp,set2/Q1C1N3B2W1_5_BPP,200,1,1,10163.33,0.18,10163.33,0
1,gurobi_lp,set2/Q1C1N3B2W1_6_BPP,200,1,1,10526.67,0.19,10526.67,0
1,gurobi_lp,set2/Q1C1N3B2W1_7_BPP,200,1,1,9694,0.18,9694,0
1,gurobi_lp,set2/Q1C1N3B2W1_8_BPP,200,1,1,9252.67,0.18,9252.67,0
1,gurobi_lp,set2/Q1C1N3B2W1_9_BPP,200,1,1,9603.33,0.18,9603.33,0
1,gurobi_lp,set2/Q1C1N3B3W1_0_BPP,200,1,1,10102.5,0.18,10102.5,0
1,gurobi_lp,set2/Q1C1N3B3W1_1_BPP,200,1,1,9988,0.18,9988,0
1,gurobi_lp,set2/Q1C1N3B3W1_2_BPP,200,1,1,9967.5,0.18,9967.5,0
1,gurobi_lp,set2/Q1C1N3B3W1_3_BPP,200,1,1,10441.5,0.18,10441.5,0
1,gurobi_lp,set2/Q1C1N3B3W1_4_BPP,200,1,1,10519.5,0.19,10519.5,0
1,gurobi_lp,set2/Q1C1N3B3W1_5_BPP,200,1,1,10397.5,0.18,10397.5,0
