id,solver,instance,n_items,n_classes,type,objective,type1_bins,type2_bins,type3_bins,type4_bins,bins_total,time_seconds,average_fill_rate,min_fill_rate,max_fill_rate,time_to_best_seconds,iterations
1,alns_300s,set2/Q1C1N3B1W1_0_BPP,200,1,1,10200,102,0,0,0,102,300,0.98,0.46,1,0.06,73193
2,alns_300s,set2/Q1C1N3B1W1_0_BPP,200,1,1,10200,102,0,0,0,102,300,0.98,0.46,1,0,84998
3,alns_300s,set2/Q1C1N3B1W1_0_BPP,200,1,1,10200,102,0,0,0,102,300,0.98,0.46,1,0,89587
4,alns_300s,set2/Q1C1N3B1W1_0_BPP,200,1,1,10200,102,0,0,0,102,300,0.98,0.46,1,0,90308
5,alns_300s,set2/Q1C1N3B1W1_0_BPP,200,1,1,10200,102,0,0,0,102,300,0.98,0.46,1,0,90750
6,alns_300s,set2/Q1C1N3B1W1_0_BPP,200,1,1,10200,102,0,0,0,102,300,0.98,0.46,1,0,90422
7,alns_300s,set2/Q1C1N3B1W1_0_BPP,200,1,1,10200,102,0,0,0,102,300,0.98,0.46,1,0,89315
8,alns_300s,set2/Q1C1N3B1W1_0_BPP,200,1,1,10200,102,0,0,0,102,300,0.98,0.46,1,0,90735
9,alns_300s,set2/Q1C1N3B1W1_0_BPP,200,1,1,10200,102,0,0,0,102,300.01,0.98,0.46,1,0,91437
10,alns_300s,set2/Q1C1N3B1W1_0_BPP,200,1,1,10200,102,0,0,0,102,300,0.98,0.46,1,0,91961
1,alns_3600s,set2/Q1C1N3B1W1_0_BPP,200,1,1,10200,102,0,0,0,102,3600.01,0.98,0.46,1,0.07,660933
2,alns_3600s,set2/Q1C1N3B1W1_0_BPP,200,1,1,10200,102,0,0,0,102,3600,0.98,0.46,1,0,666035
3,alns_3600s,set2/Q1C1N3B1W1_0_BPP,200,1,1,10200,102,0,0,0,102,3600.01,0.98,0.46,1,0,676033
4,alns_3600s,set2/Q1C1N3B1W1_0_BPP,200,1,1,10200,102,0,0,0,102,3600,0.98,0.46,1,0,671322
5,alns_3600s,set2/Q1C1N3B1W1_0_BPP,200,1,1,10200,102,0,0,0,102,3600.01,0.98,0.46,1,0,668924
6,alns_3600s,set2/Q1C1N3B1W1_0_BPP,200,1,1,10200,102,0,0,0,102,3600.01,0.98,0.46,1,0,669570
7,alns_3600s,set2/Q1C1N3B1W1_0_BPP,200,1,1,10200,102,0,0,0,102,3600.01,0.98,0.46,1,0,676197
8,alns_3600s,set2/Q1C1N3B1W1_0_BPP,200,1,1,10200,102,0,0,0,102,3600,0.98,0.46,1,0,672813
9,alns_3600s,set2/Q1C1N3B1W1_0_BPP,200,1,1,10200,102,0,0,0,102,3600,0.98,0.46,1,0,668600
10,alns_3600s,set2/Q1C1N3B1W1_0_BPP,200,1,1,10200,102,0,0,0,102,3600,0.98,0.46,1,0,670607
1,alns_300s,set2/Q1C1N3B1W1_1_BPP,200,1,1,10800,108,0,0,0,108,300,0.97,0.66,1,0.16,70000
2,alns_300s,set2/Q1C1N3B1W1_1_BPP,200,1,1,10800,108,0,0,0,108,300,0.97,0.74,1,0.01,88122
