bin,item
30,80
30,75
30,38
30,88
30,22
31,53
31,82
31,13
31,92
31,93
31,28
90,59
90,68
90,85
91,36
91,12
91,3
91,47
91,51
91,1
92,77
92,8
92,79
92,26
93,25
93,21
93,45
94,71
94,29
94,19
94,7
94,65
95,16
95,81
95,57
95,83
96,64
96,4
96,42
96,40
96,95
97,91
97,60
97,74
97,10
97,23
97,67
97,78
98,96
98,41
98,52
98,43
99,70
99,99
99,46
99,15
99,66
99,6
99,18
100,11
100,37
100,32
100,86
101,14
101,97
101,30
101,58
101,98
101,35
102,76
102,31
102,84
102,55
102,87
102,62
103,20
103,48
103,0
103,50
103,89
103,24
103,17
103,90
104,54
104,5
105,49
105,44
105,2
105,39
105,56
105,73
106,63
106,33
106,61
106,69
106,94
107,27
107,72
107,9
107,34
