bin,item
60,62
60,68
60,6
60,24
60,17
60,26
60,59
90,48
90,97
90,5
90,40
90,99
90,43
90,1
91,81
91,9
91,2
92,57
92,49
92,46
92,71
92,78
92,60
92,42
93,54
93,88
93,11
93,15
93,0
93,3
94,8
94,64
94,23
94,20
94,76
94,72
95,75
95,36
95,28
95,12
96,35
96,31
96,39
96,27
96,34
96,83
96,92
97,45
97,56
97,29
97,74
97,44
98,53
98,93
98,61
98,98
98,13
99,84
99,58
99,89
99,22
99,85
100,32
100,94
100,66
100,82
101,16
101,87
101,90
101,50
101,10
101,7
101,25
102,19
102,37
102,65
102,86
102,52
102,18
103,96
103,33
103,55
103,79
104,51
104,41
104,95
104,30
104,4
104,69
104,73
105,38
105,21
105,67
106,70
106,80
106,77
107,47
107,14
107,91
107,63
