bin,item
0,88
0,89
0,86
0,87
0,131
0,130
0,132
0,133
0,134
1,34
1,28
1,26
1,50
1,36
1,37
1,35
2,193
2,191
2,192
2,177
2,94
2,95
3,174
3,119
3,173
3,111
3,176
3,172
4,80
4,77
4,40
4,41
4,187
4,185
4,184
5,90
5,93
5,92
5,91
5,157
5,156
5,109
6,66
6,67
6,46
6,44
6,82
6,68
6,65
6,47
6,64
7,160
7,73
7,71
7,16
7,158
7,69
7,159
7,72
8,136
8,182
8,186
8,183
8,38
8,39
8,135
9,54
9,53
9,24
9,22
9,98
9,103
9,101
9,23
9,55
9,56
9,60
9,59
10,58
10,52
10,150
10,57
10,179
10,178
10,152
11,122
11,129
11,84
11,83
11,118
11,121
11,123
11,81
12,175
12,2
12,106
12,107
12,104
12,5
13,1
13,78
13,79
13,4
13,0
13,3
13,6
13,141
14,13
14,14
14,190
14,188
14,189
14,165
14,163
14,164
14,162
15,61
15,63
15,62
15,127
15,126
15,125
15,128
15,149
15,155
16,110
16,142
16,43
16,45
16,42
16,143
16,146
16,145
17,75
17,144
17,148
17,70
17,74
17,76
17,147
18,116
18,112
18,117
18,124
18,120
18,17
18,18
18,114
18,115
18,113
18,19
19,51
19,27
19,32
19,33
19,31
19,30
19,48
19,49
20,10
20,9
20,7
20,11
20,8
20,12
20,20
20,21
20,29
21,140
21,137
21,139
21,138
21,15
21,108
21,105
22,161
22,168
22,169
22,170
22,85
22,166
22,167
22,171
23,198
23,102
23,97
23,99
23,100
23,197
23,194
23,25
23,96
23,195
23,196
24,181
24,180
24,199
24,153
24,151
24,154
