bin,item
0,109
0,8
0,7
1,159
1,163
1,27
2,87
2,88
2,132
3,90
3,144
3,147
4,57
4,118
5,158
5,69
6,106
6,177
7,79
8,110
8,173
9,59
9,136
10,131
10,25
11,152
11,172
12,133
12,91
13,129
13,164
14,28
14,41
15,10
16,38
16,76
17,113
17,168
18,24
18,122
19,19
19,191
19,187
20,195
20,83
21,114
21,182
22,117
22,68
23,42
23,121
24,63
24,9
25,39
26,130
26,165
27,162
27,186
28,98
28,71
29,13
29,151
30,108
31,0
32,18
33,199
34,85
35,86
35,115
36,11
36,40
37,166
37,62
38,148
38,89
39,72
39,146
40,155
40,101
40,156
41,43
41,167
41,170
42,180
42,75
43,102
43,104
44,70
44,175
45,35
45,192
46,36
46,123
47,54
47,176
48,196
48,184
49,154
50,116
51,82
51,50
52,49
52,53
53,58
54,197
54,31
55,4
55,149
56,171
56,111
57,160
57,169
58,193
58,185
59,3
59,60
60,56
60,138
61,93
61,1
62,61
62,5
63,128
63,55
64,194
64,125
65,45
65,190
66,44
66,77
67,126
67,120
68,157
68,74
69,140
69,112
70,64
70,14
71,51
71,95
72,178
72,100
73,80
73,84
73,124
74,21
74,78
75,198
75,189
76,153
76,52
77,12
77,81
78,46
78,92
79,6
79,37
80,66
80,141
81,32
81,96
82,33
82,183
83,107
83,137
84,134
84,97
85,29
85,15
85,17
86,143
87,22
88,65
88,47
89,23
89,20
90,105
90,26
91,73
91,135
92,30
92,67
93,150
93,94
94,127
94,142
95,48
95,16
96,188
96,119
97,179
97,139
98,2
98,145
99,174
99,99
100,161
100,181
101,103
101,34
