bin,item
0,292
0,30
1,245
1,16
2,464
2,275
3,326
3,162
4,19
4,446
5,12
5,488
6,409
6,187
6,426
7,258
7,433
7,43
8,443
8,222
9,440
9,324
10,160
10,73
11,308
11,107
12,83
12,54
13,454
13,36
13,466
14,89
14,235
15,10
15,140
15,92
16,220
16,46
16,462
17,411
17,198
17,351
18,174
18,397
18,13
19,99
19,108
20,361
20,273
20,195
21,300
21,325
21,356
22,266
22,52
22,138
23,381
23,407
23,124
24,44
24,497
24,21
25,401
25,105
25,82
26,249
26,393
26,385
27,60
27,130
27,449
28,176
28,767
29,428
29,282
30,458
30,6
30,230
31,485
31,301
31,216
32,75
32,358
32,682
33,139
33,100
33,248
34,476
34,408
34,233
35,442
35,321
35,14
36,262
36,467
36,298
37,484
37,294
37,445
38,250
38,88
38,237
39,123
39,417
39,278
40,285
40,402
40,213
41,332
41,384
41,24
42,84
42,150
42,349
43,367
43,387
43,113
44,403
44,70
44,252
45,495
45,316
45,261
46,502
46,347
46,489
47,344
47,208
47,474
48,156
48,65
48,470
49,193
49,133
49,419
50,681
50,48
50,131
51,848
51,244
51,15
52,227
52,135
52,20
53,375
53,340
53,460
53,181
54,182
54,224
54,452
55,383
55,77
55,5
56,341
56,365
56,723
57,708
57,463
58,571
58,287
58,376
59,604
59,81
59,226
60,504
60,333
60,114
61,784
61,229
61,391
62,830
62,479
62,42
63,243
63,269
63,441
64,593
64,228
64,404
65,835
65,27
65,726
66,606
66,480
66,437
67,526
67,264
67,596
68,422
68,189
68,453
69,822
69,366
69,461
70,537
70,277
70,451
71,531
71,412
71,429
72,259
72,399
72,3
72,346
73,685
73,390
73,246
74,728
74,38
74,68
75,749
75,40
75,168
75,371
76,315
76,239
76,129
76,112
77,646
77,465
77,714
78,799
78,203
78,424
79,514
79,190
79,217
80,695
80,447
80,144
80,32
81,689
81,154
81,163
82,644
82,76
82,697
83,532
83,607
83,183
84,650
84,616
84,354
85,859
85,267
85,483
86,771
86,493
86,122
87,608
87,468
87,335
87,472
88,544
88,439
88,486
89,846
89,576
89,7
90,824
90,85
90,93
91,973
91,200
92,808
92,263
92,686
93,519
93,705
93,444
94,314
94,253
94,666
95,801
95,394
95,380
96,730
96,204
96,74
97,790
97,104
97,199
97,432
98,750
98,170
98,550
99,842
99,348
99,585
100,627
100,521
101,753
101,103
101,418
101,165
102,683
102,317
102,807
103,710
103,26
103,676
104,760
104,320
104,810
105,566
105,821
105,389
106,690
106,377
106,590
107,618
107,813
107,72
107,159
108,551
108,184
108,47
108,562
109,548
109,59
109,102
109,847
110,687
110,155
110,158
110,55
111,976
111,110
111,161
112,654
112,849
112,305
113,804
113,588
113,202
114,535
114,610
114,353
115,734
115,811
115,255
116,980
116,197
116,307
117,776
117,757
117,196
117,416
118,702
118,478
118,126
118,310
119,868
119,166
119,405
119,17
120,966
120,33
120,56
121,959
121,69
121,192
122,636
122,779
122,214
123,926
123,359
123,149
124,970
124,494
124,260
125,845
125,152
125,368
125,792
126,774
126,87
126,581
127,639
127,812
127,492
127,280
128,885
128,691
128,147
129,996
129,415
129,39
129,350
130,994
130,338
130,688
131,675
131,513
131,430
132,693
132,641
132,828
133,665
133,201
133,319
133,601
134,541
134,696
134,677
135,826
135,475
135,522
136,719
136,257
136,572
137,923
137,164
137,500
138,875
138,91
138,128
138,746
139,879
139,115
139,655
140,45
140,450
141,698
141,29
141,95
141,136
142,309
142,134
142,490
143,553
143,421
143,247
144,748
144,31
144,35
145,751
145,57
145,518
146,762
146,362
146,713
147,597
147,491
147,369
148,692
148,398
148,281
149,680
149,547
149,211
150,67
150,2
150,456
150,744
151,652
151,323
151,79
152,795
152,299
152,241
153,602
153,71
153,37
153,357
154,297
154,296
154,958
155,712
155,577
155,434
156,805
156,86
156,121
157,716
157,109
157,225
158,724
158,360
158,837
159,759
159,205
159,569
160,940
160,423
160,276
161,743
161,661
161,328
162,614
162,798
162,549
163,185
163,378
163,50
163,564
164,533
164,274
164,722
164,242
165,684
165,169
165,622
166,832
166,802
166,291
167,664
167,194
167,372
167,251
168,956
168,355
168,841
169,555
169,330
169,615
170,979
170,271
170,289
170,304
171,785
171,290
171,542
172,789
172,700
172,206
172,386
173,694
173,527
173,512
174,772
174,178
174,501
175,977
175,303
175,503
176,948
176,11
176,587
177,961
177,511
177,499
178,538
178,662
178,717
179,880
179,591
179,254
180,935
180,625
180,64
181,920
181,406
181,770
182,869
182,392
182,768
183,997
183,209
183,172
183,640
184,899
184,523
184,651
185,507
185,543
185,814
186,993
186,420
186,97
186,28
187,649
187,809
187,223
188,938
188,435
188,594
189,990
189,173
189,395
189,66
190,539
190,218
190,41
190,886
191,735
191,530
191,34
191,327
192,818
192,633
192,773
192,127
193,769
193,737
193,186
193,704
194,755
194,643
194,657
194,141
195,914
195,679
195,563
196,960
196,524
196,603
197,949
197,487
197,754
198,928
198,238
198,561
199,852
199,232
199,177
199,374
200,950
200,667
200,559
201,631
201,836
201,295
201,207
202,598
202,151
202,363
202,711
203,918
203,788
203,839
204,865
204,396
204,212
204,817
205,862
205,628
205,659
206,986
206,469
206,629
206,388
207,738
207,609
207,556
207,4
208,906
208,725
208,780
209,870
209,525
209,658
210,953
210,63
210,600
210,413
211,882
211,283
211,611
211,382
212,939
212,496
212,632
212,481
213,878
213,101
213,517
214,872
214,557
214,574
214,210
215,947
215,819
215,984
216,579
216,840
216,188
216,546
217,985
217,506
217,414
218,989
218,329
218,515
218,334
219,589
219,740
219,820
219,844
220,907
220,427
220,921
221,605
221,570
221,623
221,838
222,552
222,471
222,763
222,536
223,902
223,545
223,302
224,786
224,352
224,777
224,816
225,874
225,718
225,647
226,971
226,806
226,477
226,256
227,933
227,648
227,520
228,866
228,825
228,901
229,858
229,132
229,707
229,508
230,752
230,509
230,613
231,911
231,311
231,831
231,318
232,955
232,586
232,897
233,913
233,778
233,721
234,909
234,145
234,983
235,891
235,864
235,775
236,877
236,709
236,843
237,856
237,116
237,954
237,62
238,896
238,157
238,459
238,732
239,998
239,240
239,912
239,51
240,884
240,898
240,22
241,991
241,889
241,733
242,929
242,634
242,892
243,982
243,964
243,270
244,922
244,827
244,528
245,942
245,916
245,617
246,967
246,731
246,969
246,118
247,904
247,90
247,968
247,736
248,965
248,833
248,638
248,895
249,1
249,180
250,98
250,61
250,400
