bin,item
0,194
0,108
0,35
0,62
1,95
1,97
1,31
1,102
1,68
2,84
2,47
2,200
2,30
2,34
2,36
3,92
3,14
3,74
3,81
3,20
4,43
4,185
4,149
4,175
4,4
4,7
5,231
5,10
5,205
5,46
5,42
5,15
63,232
63,170
63,158
63,1
63,121
63,147
63,118
63,157
64,226
64,48
64,184
64,65
64,105
64,87
64,5
64,91
64,134
65,70
65,179
65,8
65,79
65,52
65,216
65,78
65,198
65,161
66,142
66,222
66,156
66,210
66,230
66,124
66,16
66,9
67,126
67,190
67,122
67,150
67,247
67,196
67,18
68,207
68,113
68,54
68,72
68,191
68,83
68,171
68,233
69,187
69,220
69,25
69,249
69,90
69,110
69,241
70,132
70,206
70,120
70,32
70,229
70,50
70,174
70,115
71,138
71,155
71,59
71,41
71,69
71,153
71,225
71,55
71,219
72,117
72,244
72,178
72,51
72,176
72,93
72,139
72,60
72,246
73,166
73,77
73,123
73,28
73,237
73,211
73,141
73,71
74,209
74,56
74,53
74,144
74,152
74,133
74,96
74,208
75,148
75,235
75,168
75,85
75,64
75,94
75,130
75,39
76,104
76,116
76,239
76,128
76,57
76,26
76,112
76,180
76,66
76,23
77,159
77,201
77,58
77,234
77,89
77,100
77,212
77,38
77,61
77,33
78,213
78,106
78,0
78,183
78,195
78,76
78,163
78,37
78,2
78,172
79,215
79,165
79,29
79,223
79,177
79,82
79,86
79,80
80,224
80,131
80,202
80,127
80,151
80,45
80,167
80,169
81,227
81,27
81,67
81,162
81,217
81,103
81,40
81,193
81,22
82,114
82,44
82,107
82,143
82,238
82,199
82,221
83,101
83,189
83,99
83,181
83,135
83,173
83,160
83,75
84,248
84,204
84,203
84,186
84,188
84,119
85,109
85,242
85,24
85,164
85,19
85,13
85,243
85,63
85,236
86,21
86,137
86,197
86,12
86,154
86,125
86,192
86,218
87,111
87,73
87,88
87,17
87,245
87,146
87,240
87,182
87,129
87,11
88,214
88,98
88,140
88,3
88,6
88,228
88,49
88,136
88,145
