id,solver,instance,n_items,n_classes,type,objective,solver_wall_time,best_bound,opt_gap
1,gurobi_lp,set3_t1_corr/I250_C3_1,250,3,1,1993.17,0.62,1993.17,0.0
1,gurobi_lp,set3_t1_corr/I250_C3_10,250,3,1,1979.95,0.56,1979.95,0.0
1,gurobi_lp,set3_t1_corr/I250_C3_2,250,3,1,2138.17,0.54,2138.17,0.0
1,gurobi_lp,set3_t1_corr/I250_C3_3,250,3,1,1867.2,0.57,1867.2,0.0
1,gurobi_lp,set3_t1_corr/I250_C3_4,250,3,1,2010.82,0.58,2010.82,0.0
1,gurobi_lp,set3_t1_corr/I250_C3_5,250,3,1,2001.94,0.58,2001.94,0.0
1,gurobi_lp,set3_t1_corr/I250_C3_6,250,3,1,1968.08,0.6,1968.08,0.0
1,gurobi_lp,set3_t1_corr/I250_C3_7,250,3,1,2114.06,0.56,2114.06,0.0
1,gurobi_lp,set3_t1_corr/I250_C3_8,250,3,1,2098.39,0.54,2098.39,0.0
1,gurobi_lp,set3_t1_corr/I250_C3_9,250,3,1,1898.2,0.57,1898.2,0.0
1,gurobi_lp,set3_t1_noncorr/I250_C3_1,250,3,1,1931.89,0.53,1931.89,0.0
1,gurobi_lp,set3_t1_noncorr/I250_C3_10,250,3,1,1920.99,0.57,1920.99,0.0
1,gurobi_lp,set3_t1_noncorr/I250_C3_2,250,3,1,2140.33,0.45,2140.33,0.0
1,gurobi_lp,set3_t1_noncorr/I250_C3_3,250,3,1,1934.89,0.52,1934.89,0.0
1,gurobi_lp,set3_t1_noncorr/I250_C3_4,250,3,1,1897.55,0.52,1897.55,0.0
1,gurobi_lp,set3_t1_noncorr/I250_C3_5,250,3,1,1924.23,0.57,1924.23,0.0
1,gurobi_lp,set3_t1_noncorr/I250_C3_6,250,3,1,2054.82,0.51,2054.82,0.0
1,gurobi_lp,set3_t1_noncorr/I250_C3_7,250,3,1,1982.98,0.55,1982.98,0.0
1,gurobi_lp,set3_t1_noncorr/I250_C3_8,250,3,1,1924.59,0.49,1924.59,0.0
1,gurobi_lp,set3_t1_noncorr/I250_C3_9,250,3,1,1901.64,0.58,1901.64,0.0
1,gurobi_lp,set3_t1_corr/I250_C4_1,250,4,1,1993.17,0.66,1993.17,0.0
1,gurobi_lp,set3_t1_corr/I250_C4_10,250,4,1,1979.95,0.59,1979.95,0.0
1,gurobi_lp,set3_t1_corr/I250_C4_2,250,4,1,2138.17,0.64,2138.17,0.0
1,gurobi_lp,set3_t1_corr/I250_C4_3,250,4,1,1867.2,0.7,1867.2,0.0
1,gurobi_lp,set3_t1_corr/I250_C4_4,250,4,1,2010.82,0.61,2010.82,0.0
1,gurobi_lp,set3_t1_corr/I250_C4_5,250,4,1,2001.94,0.7,2001.94,0.0
1,gurobi_lp,set3_t1_corr/I250_C4_6,250,4,1,1968.08,0.69,1968.08,0.0
1,gurobi_lp,set3_t1_corr/I250_C4_7,250,4,1,2114.06,0.66,2114.06,0.0
1,gurobi_lp,set3_t1_corr/I250_C4_8,250,4,1,2098.39,0.78,2098.39,0.0
1,gurobi_lp,set3_t1_corr/I250_C4_9,250,4,1,1898.2,0.68,1898.2,0.0
1,gurobi_lp,set3_t1_noncorr/I250_C4_1,250,4,1,1931.89,0.61,1931.89,0.0
1,gurobi_lp,set3_t1_noncorr/I250_C4_10,250,4,1,1920.99,0.59,1920.99,0.0
1,gurobi_lp,set3_t1_noncorr/I250_C4_2,250,4,1,2140.33,0.6,2140.33,0.0
1,gurobi_lp,set3_t1_noncorr/I250_C4_3,250,4,1,1934.89,0.66,1934.89,0.0
1,gurobi_lp,set3_t1_noncorr/I250_C4_4,250,4,1,1897.55,0.69,1897.55,0.0
1,gurobi_lp,set3_t1_noncorr/I250_C4_5,250,4,1,1924.23,0.7,1924.23,0.0
1,gurobi_lp,set3_t1_noncorr/I250_C4_6,250,4,1,2054.82,0.62,2054.82,0.0
1,gurobi_lp,set3_t1_noncorr/I250_C4_7,250,4,1,1982.98,0.65,1982.98,0.0
1,gurobi_lp,set3_t1_noncorr/I250_C4_8,250,4,1,1924.59,0.56,1924.59,0.0
1,gurobi_lp,set3_t1_noncorr/I250_C4_9,250,4,1,1901.64,0.65,1901.64,0.0
1,gurobi_lp,set3_t1_corr/I250_C5_1,250,5,1,1993.17,0.81,1993.17,0.0
1,gurobi_lp,set3_t1_corr/I250_C5_10,250,5,1,1979.95,0.75,1979.95,0.0
1,gurobi_lp,set3_t1_corr/I250_C5_2,250,5,1,2138.17,0.78,2138.17,0.0
1,gurobi_lp,set3_t1_corr/I250_C5_3,250,5,1,1867.2,0.89,1867.2,0.0
1,gurobi_lp,set3_t1_corr/I250_C5_4,250,5,1,2010.82,0.77,2010.82,0.0
1,gurobi_lp,set3_t1_corr/I250_C5_5,250,5,1,2001.94,0.88,2001.94,0.0
1,gurobi_lp,set3_t1_corr/I250_C5_6,250,5,1,1968.08,0.81,1968.08,0.0
1,gurobi_lp,set3_t1_corr/I250_C5_7,250,5,1,2114.06,0.77,2114.06,0.0
1,gurobi_lp,set3_t1_corr/I250_C5_8,250,5,1,2098.39,0.81,2098.39,0.0
1,gurobi_lp,set3_t1_corr/I250_C5_9,250,5,1,1898.2,0.91,1898.2,0.0
1,gurobi_lp,set3_t1_noncorr/I250_C5_1,250,5,1,1931.89,0.8,1931.89,0.0
1,gurobi_lp,set3_t1_noncorr/I250_C5_10,250,5,1,1920.99,0.8,1920.99,0.0
1,gurobi_lp,set3_t1_noncorr/I250_C5_2,250,5,1,2140.33,0.74,2140.33,0.0
1,gurobi_lp,set3_t1_noncorr/I250_C5_3,250,5,1,1934.89,0.79,1934.89,0.0
1,gurobi_lp,set3_t1_noncorr/I250_C5_4,250,5,1,1897.55,0.78,1897.55,0.0
1,gurobi_lp,set3_t1_noncorr/I250_C5_5,250,5,1,1924.23,0.85,1924.23,0.0
1,gurobi_lp,set3_t1_noncorr/I250_C5_6,250,5,1,2054.82,0.82,2054.82,0.0
1,gurobi_lp,set3_t1_noncorr/I250_C5_7,250,5,1,1982.98,0.72,1982.98,0.0
1,gurobi_lp,set3_t1_noncorr/I250_C5_8,250,5,1,1924.59,0.7,1924.59,0.0
1,gurobi_lp,set3_t1_noncorr/I250_C5_9,250,5,1,1901.64,0.77,1901.64,0.0
1,gurobi_lp,set3_t1_corr/I500_C3_1,500,3,1,3789.85,2.57,3789.85,0.0
1,gurobi_lp,set3_t1_corr/I500_C3_10,500,3,1,3992.31,2.25,3992.31,0.0
1,gurobi_lp,set3_t1_corr/I500_C3_2,500,3,1,3992.73,2.63,3992.73,0.0
1,gurobi_lp,set3_t1_corr/I500_C3_3,500,3,1,3920.89,2.61,3920.89,0.0
1,gurobi_lp,set3_t1_corr/I500_C3_4,500,3,1,4139.36,2.26,4139.36,0.0
1,gurobi_lp,set3_t1_corr/I500_C3_5,500,3,1,3763.25,2.69,3763.25,0.0
1,gurobi_lp,set3_t1_corr/I500_C3_6,500,3,1,3875.9,2.45,3875.9,0.0
1,gurobi_lp,set3_t1_corr/I500_C3_7,500,3,1,4126.48,2.49,4126.48,0.0
1,gurobi_lp,set3_t1_corr/I500_C3_8,500,3,1,4126.76,2.48,4126.76,0.0
1,gurobi_lp,set3_t1_corr/I500_C3_9,500,3,1,4310.14,2.42,4310.14,0.0
1,gurobi_lp,set3_t1_noncorr/I500_C3_1,500,3,1,3965.14,2.54,3965.14,0.0
1,gurobi_lp,set3_t1_noncorr/I500_C3_10,500,3,1,4069.82,2.4,4069.82,0.0
1,gurobi_lp,set3_t1_noncorr/I500_C3_2,500,3,1,4052.59,2.72,4052.59,0.0
1,gurobi_lp,set3_t1_noncorr/I500_C3_3,500,3,1,4112.2,2.73,4112.2,0.0
1,gurobi_lp,set3_t1_noncorr/I500_C3_4,500,3,1,4223.18,2.49,4223.18,0.0
1,gurobi_lp,set3_t1_noncorr/I500_C3_5,500,3,1,3708.85,2.7,3708.85,0.0
1,gurobi_lp,set3_t1_noncorr/I500_C3_6,500,3,1,4273.85,2.57,4273.85,0.0
1,gurobi_lp,set3_t1_noncorr/I500_C3_7,500,3,1,3763.02,2.2,3763.02,0.0
1,gurobi_lp,set3_t1_noncorr/I500_C3_8,500,3,1,4144.26,2.3,4144.26,0.0
1,gurobi_lp,set3_t1_noncorr/I500_C3_9,500,3,1,4253.22,2.34,4253.22,0.0
1,gurobi_lp,set3_t1_corr/I500_C4_1,500,4,1,3789.85,3.0,3789.85,0.0
1,gurobi_lp,set3_t1_corr/I500_C4_10,500,4,1,3992.31,2.76,3992.31,0.0
1,gurobi_lp,set3_t1_corr/I500_C4_2,500,4,1,3992.73,3.14,3992.73,0.0
1,gurobi_lp,set3_t1_corr/I500_C4_3,500,4,1,3920.89,3.24,3920.89,0.0
1,gurobi_lp,set3_t1_corr/I500_C4_4,500,4,1,4139.36,2.97,4139.36,0.0
1,gurobi_lp,set3_t1_corr/I500_C4_5,500,4,1,3763.25,3.3,3763.25,0.0
1,gurobi_lp,set3_t1_corr/I500_C4_6,500,4,1,3875.9,3.11,3875.9,0.0
1,gurobi_lp,set3_t1_corr/I500_C4_7,500,4,1,4126.48,3.16,4126.48,0.0
1,gurobi_lp,set3_t1_corr/I500_C4_8,500,4,1,4126.76,2.92,4126.76,0.0
1,gurobi_lp,set3_t1_corr/I500_C4_9,500,4,1,4310.14,3.17,4310.14,0.0
1,gurobi_lp,set3_t1_noncorr/I500_C4_1,500,4,1,3965.14,3.13,3965.14,0.0
1,gurobi_lp,set3_t1_noncorr/I500_C4_10,500,4,1,4069.82,3.22,4069.82,0.0
1,gurobi_lp,set3_t1_noncorr/I500_C4_2,500,4,1,4052.59,3.14,4052.59,0.0
1,gurobi_lp,set3_t1_noncorr/I500_C4_3,500,4,1,4112.2,3.16,4112.2,0.0
1,gurobi_lp,set3_t1_noncorr/I500_C4_4,500,4,1,4223.18,3.28,4223.18,0.0
1,gurobi_lp,set3_t1_noncorr/I500_C4_5,500,4,1,3708.85,3.21,3708.85,0.0
1,gurobi_lp,set3_t1_noncorr/I500_C4_6,500,4,1,4273.85,3.13,4273.85,0.0
1,gurobi_lp,set3_t1_noncorr/I500_C4_7,500,4,1,3763.02,2.73,3763.02,0.0
1,gurobi_lp,set3_t1_noncorr/I500_C4_8,500,4,1,4144.26,2.99,4144.26,0.0
1,gurobi_lp,set3_t1_noncorr/I500_C4_9,500,4,1,4253.22,3.07,4253.22,0.0
1,gurobi_lp,set3_t1_corr/I500_C5_1,500,5,1,3789.85,3.73,3789.85,0.0
1,gurobi_lp,set3_t1_corr/I500_C5_10,500,5,1,3992.31,3.41,3992.31,0.0
1,gurobi_lp,set3_t1_corr/I500_C5_2,500,5,1,3992.73,3.78,3992.73,0.0
1,gurobi_lp,set3_t1_corr/I500_C5_3,500,5,1,3920.89,3.96,3920.89,0.0
1,gurobi_lp,set3_t1_corr/I500_C5_4,500,5,1,4139.36,3.55,4139.36,0.0
1,gurobi_lp,set3_t1_corr/I500_C5_5,500,5,1,3763.25,3.85,3763.25,0.0
1,gurobi_lp,set3_t1_corr/I500_C5_6,500,5,1,3875.9,3.44,3875.9,0.0
1,gurobi_lp,set3_t1_corr/I500_C5_7,500,5,1,4126.48,4.07,4126.48,0.0
1,gurobi_lp,set3_t1_corr/I500_C5_8,500,5,1,4126.76,3.54,4126.76,0.0
1,gurobi_lp,set3_t1_corr/I500_C5_9,500,5,1,4310.14,4.02,4310.14,0.0
1,gurobi_lp,set3_t1_noncorr/I500_C5_1,500,5,1,3965.14,4.02,3965.14,0.0
1,gurobi_lp,set3_t1_noncorr/I500_C5_10,500,5,1,4069.82,3.68,4069.82,0.0
1,gurobi_lp,set3_t1_noncorr/I500_C5_2,500,5,1,4052.59,3.97,4052.59,0.0
1,gurobi_lp,set3_t1_noncorr/I500_C5_3,500,5,1,4112.2,3.7,4112.2,0.0
1,gurobi_lp,set3_t1_noncorr/I500_C5_4,500,5,1,4223.18,3.67,4223.18,0.0
1,gurobi_lp,set3_t1_noncorr/I500_C5_5,500,5,1,3708.85,3.97,3708.85,0.0
1,gurobi_lp,set3_t1_noncorr/I500_C5_6,500,5,1,4273.85,3.71,4273.85,0.0
1,gurobi_lp,set3_t1_noncorr/I500_C5_7,500,5,1,3763.02,3.69,3763.02,0.0
1,gurobi_lp,set3_t1_noncorr/I500_C5_8,500,5,1,4144.26,3.74,4144.26,0.0
1,gurobi_lp,set3_t1_noncorr/I500_C5_9,500,5,1,4253.22,3.54,4253.22,0.0
1,gurobi_lp,set3_t1_corr/I1000_C3_1,1000,3,1,8137.1,10.39,8137.1,0.0
1,gurobi_lp,set3_t1_corr/I1000_C3_10,1000,3,1,7977.31,9.75,7977.31,0.0
1,gurobi_lp,set3_t1_corr/I1000_C3_2,1000,3,1,8419.49,11.31,8419.49,0.0
1,gurobi_lp,set3_t1_corr/I1000_C3_3,1000,3,1,8428.38,11.94,8428.38,0.0
